;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
795;continuer;;kôtinyE;;;kôtinyEr;kôtinya;kôtinyrô;kôtinyrE;kôtinyre;kôtinyra;kôtinyrô;kôtinyra;kôtinyjô;kôtinyE;kôtinyje;kôtinyE;kôtinyE;kôtinyE;kôtinye;;;;;kôtinyas;kôtinya;kôtinyô;kôtinye;kôtiny;kôtinyâ;;;;kôtinyrE;kôtinyrE;kôtinyrE;kôtinyô;kôtiny;kôtinye;kôtiny;kôtiny;kôtiny;;kôtinyjô;;;kôtiny;;kôtiny
796;contourner;;;;;kôturnEr;kôturna;kôturn6rô;;;;;;;;;;;kôturnE;kôturne;;;;;;;;;kôturn;kôturnâ;;;;;;;;kôturn;;;kôturn;kôturn;;;;;;;
797;contracter;;;;;kôtraktEr;kôtrakta;;;;;;;;;;;;kôtraktE;kôtrakte;;;;;;;;;kôtrakt;kôtraktâ;;;;;;;;kôtrakt;;;kôtrakt;kôtrakt;;;;;;;
798;contraindre;;;;;;kôtrEJi;;;;;;;;;;;;kôtrEJE;kôtrêdr;;;;;;;;;;kôtrEJâ;;;;;kôtrêdrE;;;;;;kôtrEJ;kôtrê;;;;;;;kôtrEJ
799;contrarier;;;;;;kôtrarja;;;;;;;;;;;;kôtrarjE;kôtrarje;;;;;;;;;kôtrari;;;;;;;;;kôtrari;;;kôtrari;kôtrari;;;;;;;
800;contraster;;;;;;;;;;;;;;;;;kôtrastE;kôtrastE;kôtraste;;;;;;;;;;kôtrastâ;;;;;;;;;;;;kôtrast;;;;;;;
801;contre-attaquer;;;;;;;kôtratak6rô;;;;;;;;;;;;kôtratake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
802;contrebalancer;;;;;;;;;;;;;;kôtr6balâsE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
803;contrecarrer;;;;;;;;;;;;;;;;;;;kôtr6kare;;;;;;;;;;;;;;;;;;;;;;kôtr6kar;;;;;;;
804;contredire;;;;;;;;;;;;;;;;;kôtr6dizE;kôtr6dizE;kôtr6dir;;;;;;;;;kôtr6di;kôtr6dizâ;;;;;;;;kôtr6di;;kôtr6di;kôtr6diz;kôtr6di;;;;;;;
805;contrefaire;;;;;;;;;;;;;;;;;;;kôtr6fEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
806;contreficher;;;;;;;;;;;;;;;;;;kôtr6fiSE;;;;;;;;;;;;;;;;;;;kôtr6fiS;;;;kôtr6fiS;;;;;;;
807;contrefoutre;;;;;;;;;;;;;;;;;;kôtr6futE;;;;;;;;;;;;;;;;;;;kôtr6fu;;kôtr6fu;;kôtr6fu;;;;;;;
808;contrer;;;;;;kôtra;;;;;;;;;;;;kôtrE;kôtre;;;;;;;;;kôtr;;;;;;;;;kôtr;;;;kôtr;;;;;;;
809;contresigner;;;;;;;;;;;;;;;;;;kôtr6siJE;kôtr6siJe;;;;;;;;;;;;;;;;;;kôtr6siJ;;;;;;;;;;;
810;contrevenir;;;;;;;;;;;;;;;;;;;kôtr6v6nir;;;;;;;;;;;;;;;;;;;;;;kôtr6vjê;;;;;;;
811;contribuer;;;;;kôtribyEr;kôtribya;;;;;;;;;;;;kôtribyE;kôtribye;;;;;;;;;kôtriby;;;;;;;;kôtribyô;kôtriby;;;kôtriby;kôtriby;;;;;;;
812;contrôler;;;;;;;;;;;;;;kôtrOlE;;kôtrOlE;kôtrOlE;kôtrOlE;kôtrOle;;;;;;;kôtrOlô;kôtrOle;kôtrol;kôtrOlâ;;;;;;;kôtrOlô;kôtrol;kôtrOle;kôtrol;kôtrol;kôtrol;;;;;kôtrol;;kôtrol
813;convaincre;;kôvêki;;;;kôvêki;;kôvêkrE;kôvêkre;;;;;;;;;kôvêkE;kôvêkr;;;;;;;;kôvêke;;;;;;;;;;kôvê;kôvêke;;;kôvê;;;;;;;
814;convenir;;kôvê;;;kôvêr;kôvê;;;;;;kôvjêdra;;;;;kôv6nE;kôv6nE;kôv6nir;;;;;;kôvê;kôv6nô;;kôvjê;kôv6nâ;;;;;;kôvjêdrE;kôv6nô;kôvjê;kôv6ne;kôvjê;kôvjEn;kôvjê;;;kôvjEn;;;;kôvjEn
815;converger;;;;;;;;;;;;;;;;;kôvErZE;kôvErZE;kôvErZe;;;;;;;;;;;;;;;;;;;;;kôvErZ;;;;;;;;
816;converser;;;;;;;;;;;;;;;;;;;kôvErse;;;;;;;;;;;;;;;;;;;;;kôvErs;;;;;;;;
817;convertir;;;;;;;;;;;;;;;;;kôvErtisE;;kôvErtir;;;;;;;;;kôvErti;;;;;;;;;kôvErti;;kôvErti;;kôvErti;;;;;;;kôvErtis
818;convier;;;;;;kôvja;;;;;;;;;;;;kôvjE;kôvje;;;;;;;;;kôvi;;;;;;;;;kôvi;;;;;;;;;;;
819;convoiter;;;;;;;;;;;;;;kôvwatE;;kôvwatE;kôvwatE;kôvwatE;kôvwate;;;;;;;;;;;;;;;;;;kôvwat;;;;kôvwat;;;;;;;
820;convoquer;;;;;;kôvOka;;kôvOk6rE;;;;kôvOk6ra;;;;;;kôvOkE;kôvOke;;;;;;;;;kôvOk;;;;;;;;;kôvOk;kôvOke;;;kôvOk;;;;;;;
821;convoyer;;;;;;;;;;;;;;;;;;kôvwajE;kôvwaje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
822;convulser;;;;;;;;;;;;;;;;;;kôvylsE;;;;;;;;;;;;;;;;;;;;;;;kôvyls;;;;;;;
823;coopter;;;;;;;;;;;;;;;;;;;kOOpte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
824;coopérer;;;;;;;;;;;;;;;;;;kOOpErE;kOOpEre;;;;;;;;kOOpEre;kOOpEr;;;;;;;;;kOOpEr;kOOpEre;;;kOOpEr;;;;;;;
825;coordonner;;;;;;kOOrdOna;;;;;;;;;;;;;kOOrdOne;;;;;;;kOOrdOnô;;kOOrdOn;kOOrdOnâ;;;;;;;;kOOrdOn;;;;;;;;;;;
826;copier;;;;;;;;;;;kOpirô;;;;;;kOpjE;kOpjE;kOpje;;;;;;;;;kOpi;;;;;;;;;kOpi;kOpje;;;kOpi;;;;;;;
827;copiner;;;;;;;;;;;;;;;;;;kOpinE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
828;corder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOrd;;;;;;;;;;;
829;corner;;;;;;kOrna;;;;;;;;kOrnE;;;kOrnE;kOrnE;kOrne;;;;;;;;;;;;;;;;;;kOrn;;;;;;;;;;;
830;correspondre;;;;;;;;;;;;kOrEspôdra;;;;;kOrEspôdE;kOrEspôdE;kOrEspôdr;;;;;;;;;;kOrEspôdâ;;;;;;;;kOrEspô;;kOrEspô;kOrEspôd;kOrEspô;;;;;;kOrEspôd;
831;corriger;;;;;;kOriZa;;;;;;kOriZ6ra;;kOriZE;;;;kOriZE;kOriZe;;;;;;;;kOriZe;kOriZ;kOriZâ;;;;;;;kOriZô;kOriZ;kOriZe;;;kOriZ;;;;;;;
832;corroborer;;;;;;;;;;;;;;;;;;kOrObOrE;;;;;;;;;;;;;;;;;;;;;;kOrObOr;;;;;;;;
833;corrompre;;;;;;;;;;;;;;;;;;;kOrôpr;;;;;;;;;;;;;;;;;;;kOrôpe;;kOrôp;;;;;;;;
834;corser;;;;;;;;;;;;;;;;;;;kOrse;;;;;;;;;;;;;;;;;;;;;;kOrs;;;;;;;
835;costumer;;;;;;;;;;;;;;;;;;;kOstyme;;;;;;;;;;;;;;;;;;;;;;kOstym;;;;;;;
836;coter;;;;;;;;;;;;;;;;;;;;;;;;;;;;kOt;;;;;;;;;;;;;;;;;;kOt;;
837;cotiser;;;;;;;;;;;;;;;;;kOtizE;;kOtize;;;;;;;;;;;;;;;;;;kOtiz;;;;;;;;;;;
838;coucher;;kuSE;;;kuSEr;kuSa;kuS6rô;kuS6rE;kuS6re;kuS6ra;kuS6rô;kuS6ra;;kuSE;kuSje;kuSE;kuSE;kuSE;kuSe;;;;;;;;kuSe;kuS;kuSâ;kuS6rjô;kuS6rE;;kuS6rE;;kuS6rE;kuSô;kuS;kuSe;kuS;kuS;kuS;;;kuS;;kuS;;kuS
839;coudoyer;;;;;;;;;;;;;;;;;kudwajE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
840;coudre;;;;;kuzir;;;;;;;;;;;;;kuzE;kudr;;;;;;;;;ku;;;;;;;;;;;ku;;ku;;;kuz;;;;
841;couillonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;kujOn;;;;;;;;;;;;;;;;;;;;
842;couler;;;;;kulEr;kula;;;;;;kul6ra;;;;kulE;kulE;kulE;kule;;;;;;;kulô;kule;kul;kulâ;;;;;kul6rE;kul6rE;;kul;kule;kul;kul;kul;;;;;;;kul
843;coulisser;;;;;;;;;;;;;;;;;;;kulise;;;;;;;;;;kulisâ;;;;;;;;;;;;kulis;;;;;;;
844;couper;;kupE;;;kupEr;kupa;kup6rô;kup6rE;kup6re;kup6ra;kup6rô;kup6ra;kupjô;kupE;;kupE;kupE;kupE;kupe;;;;;;;kupô;kupe;kup;kupâ;;kup6rE;;kup6rE;;kup6rE;kupô;kup;kupe;kup;kup;kup;;;kup;;;;kup
845;courber;;;;;;kurba;;;;;;;;;;;kurbE;kurbE;kurbe;;;;;;;;;kurb;kurbâ;;;;;;;;kurb;;;;kurb;;;;;;;kurb
846;courir;;kury;;;kuryr;kury;;;kurre;;;kurra;kurjô;kurE;;kurE;kurE;kurE;kurir;;;;;;;kurô;kure;kur;kurâ;;kurrE;;kurrE;kurrE;kurrE;kurô;kur;kure;kur;kur;kur;;;kur;;;;kur
847;couronner;;;;;;kurOna;;;;;;;;;;;;kurOnE;kurOne;;;;;;;;;kurOn;kurOnâ;;;;;;;;kurOn;;;;kurOn;;;;;;;
848;courre;;;;;;;;;;;;;;;;;;;kur;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
849;courser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kurs;;;;;;;
850;court-circuiter;;;;;;;;;;;;;;;;;;kursirkHitE;;;;;;;;;;kursirkHit;;;;;;;;;kursirkHit;;;;;;;;;;;
851;courtiser;;;;;;;;;;;;;;;;;;;kurtize;;;;;;;;;kurtiz;;;;;;;;;kurtiz;;;;kurtiz;;;;;;;
852;couver;;;;;;;;;;;;;;;;;kuvE;kuvE;kuve;;;;;;;;kuve;kuv;;;;;;;;;kuv;;;kuv;kuv;;;;;;;
853;couvrir;;kuvri;;;kuvrir;kuvri;;kuvrirE;;kuvrira;;kuvrira;;kuvrE;;kuvrE;kuvrE;kuvrE;kuvrir;;;;;;;;kuvre;kuvr;kuvrâ;;;;;kuvrirE;kuvrirE;kuvrô;kuvr;kuvre;kuvr;kuvr;kuvr;;;;;kuvr;;
854;coïncider;;;;;;;;;;;;;kOêsidjô;;;;;kOêsidE;kOêside;;;;;;;;;kOêsid;kOêsidâ;;;;;;;;;;;kOêsid;kOêsid;;;;;;;
855;coûter;;;;;;kuta;;kut6rE;;;kut6rô;kut6ra;;;;;kutE;kutE;kute;;;;;;;;;kut;;;;;;;kut6rE;;kut;;;kut;kut;;;;;;;
856;cracher;;;;;;kraSa;;kraS6rE;;;;kraS6ra;;;;kraSE;kraSE;kraSE;kraSe;;;;;;;;kraSe;kraS;kraSâ;;kraS6rE;;;;;;kraS;kraSe;kraS;kraS;kraS;;;;;kraS;;
857;crachiner;;;;;;;;;;;;;;;;;;;kraSine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
858;crachoter;;;;;;kraSOta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kraSOt;;;;;;;;
859;crachouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kraSuj;;;;;;;
860;crailler;;;;;;;;;;;;;;;;;krajE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
861;craindre;;;;;;krEJi;;;;;;;;krEJE;krEJe;krEJE;krEJE;krEJE;krêdr;;;;;;;krEJô;krEJe;krê;krEJâ;;krêdrE;;krêdrE;krêdrE;krêdrE;krEJô;krê;krEJe;krê;krEJ;krê;;;krEJ;;;;krEJ
862;cramer;;;;;;;;;;;;;;;;;;;krame;;;;;;;;;kram;kramâ;;;;;;;;kram;;;;kram;;;;;;;
863;cramponner;;;;;;;;;;;;;;krâpOnE;;krâpOnE;;krâpOnE;krâpOne;;;;;;;;krâpOne;krâpOn;krâpOnâ;;;;;;;;;krâpOne;;;krâpOn;;;;;;;
864;craqueler;;;;;;;;;;;;;;;;;;;krak6le;;;;;;;;;;;;;;;;;;;;;krakEl;;;;;;;;
865;craquer;;;;;krakEr;kraka;;;;;;krak6ra;;;;krakE;krakE;;krake;;;;;;;;krake;krak;;;;;;;krak6rE;;krak;;krak;krak;krak;;;;;;;
866;cravacher;;;;;;;;;;;;;;;;;;;kravaSe;;;;;;;;;;kravaSâ;;;;;;;;kravaS;;;;;;;;;;;
867;cravater;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kravat;;;;kravat;;;;;;;
868;crayonner;;;;;;;;;;;;;;;;;;krEjOnE;;;;;;;;;;;krEjOnâ;;;;;;;;;;;;;;;;;;;
869;creuser;;;;;kr6zEr;kr6za;;kr6z6rE;;;kr6z6rô;;;kr6zE;;kr6zE;kr6zE;kr6zE;kr6ze;;;;;;;kr6zô;kr6ze;kr2z;kr6zâ;;;;;;;kr6zô;kr2z;kr6ze;kr2z;kr2z;kr2z;;;;;;;kr2z
870;crever;;;;;kr6vEr;kr6va;krEv6rô;;krEv6re;krEv6ra;krEv6rô;krEv6ra;;kr6vE;;kr6vE;kr6vE;kr6vE;kr6ve;;;;;;;kr6vô;;krEv;kr6vâ;;;;krEv6rE;;krEv6rE;kr6vô;krEv;kr6ve;krEv;krEv;krEv;;;;;;;krEv
871;criailler;;;;;;;;;;;;;;;;;;;kriaje;;;;;;;;;;kriajâ;;;;;;;;;;;;;;;;;;;
872;cribler;;;;;;;;;;;;;;;;;;;;;;;;;;;;kribl;kriblâ;;;;;;;;kribl;;;;kribl;;;;;;;
873;crier;;krjE;;;;krja;;;;;;krira;;kriE;;kriE;kriE;kriE;krie;;;;;;;kriô;krie;kri;kriâ;;;;;krirE;;;kri;krie;kri;kri;kri;;;;;kri;;
874;crisper;;;;;;krispa;;;;;;;;;;;krispE;krispE;krispe;;;;;;;;;krisp;krispâ;;;;;;;;krisp;;krisp;krisp;;;;;;;;
875;crisser;;;;;krisEr;krisa;;;;;;;;;;;krisE;krisE;krise;;;;;;;;;kris;krisâ;;;;;;;;kris;;;kris;kris;;;;;;;
876;cristalliser;;;;;;;;;;;;;;;;;;kristalizE;;;;;;;;;;;;;;;;;;;;;;kristaliz;kristaliz;;;;;;;
877;critiquer;;;;;;;;;;;;;;kritikE;;kritikE;kritikE;kritikE;kritike;;;;;;;;;kritik;;;;;;;;;kritik;;kritik;;kritik;;;;;;;
878;croasser;;;;;;krOasa;;;;;;;;;;;krOasE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
879;crocheter;;;;;;;;;;;;;;;;;krOS6tE;krOS6tE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
880;croire;;kry;;kry;kryr;kry;;krwarE;krware;krwara;krwarô;krwara;krwajô;krwajE;krwaje;krwajE;krwajE;krwajE;krwar;;;;;;kry;krwajô;krwaje;krwa;krwajâ;;krwarE;krwarje;krwarE;krwarE;krwarE;krwajô;krwa;krwaje;krwa;krwa;krwa;;;krwa;krwaje;krwa;;krwa
881;croiser;;krwazE;;;krwazEr;krwaza;;;;;;krwaz6ra;krwazjô;krwazE;;krwazE;krwazE;krwazE;krwaze;;;;;;;krwazô;krwaze;krwaz;krwazâ;;krwaz6rE;;;;;krwazô;krwaz;;krwaz;krwaz;krwaz;;;;;;;
882;croquer;;;;;;krOka;krOk6rô;;;;;;;;;;;krOkE;krOke;;;;;;;;;krOk;krOkâ;;;;;;krOk6rE;;krOk;;krOk;;krOk;;;;;;;
883;crouler;;;;;;;;;;krul6ra;;;;;;;krulE;krulE;krule;;;;;;;;;krul;;;;;;;;krulô;krul;;;krul;krul;;;;;;;
884;croupir;;;;;;;;;;;;;;;;krupisE;krupisE;;krupir;;;;;;;;;;krupisâ;;;;;;;;krupi;;krupi;;krupi;;;;;;;
885;croustiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krustij;;;;;;;
886;croître;;;;;;kry;;;;;;;;;;;;krwasE;krwatr;;;;;;;;;;krwasâ;;;;;;;;;;;krwas;krwa;;;;;;;krwas
887;crucifier;;;;;;;;;;;;;;;;;;krysifjE;;;;;;;;;krysifje;;;;;;;;;;krysifi;krysifje;;;;;;;;;;
888;crypter;;;;;;;;;;;;;;;;;;;;;;;;;;;;kript;;;;;;;;;;;;;kript;;;;;;;
889;crâner;;;;;;krana;;;;;;;;;;;;kranE;krane;;;;;;;;;;;;;;;;;;kran;;kran;;kran;;;;;;;
890;crécher;;;;;;;;;;;;;;;;;;;krESe;;;;;;;;;;;;;;;;;;krES;;krES;krES;krES;;;;;;;
891;créer;;;;;;krEa;;krErE;;;;krEra;;;;;krEE;krEE;krEe;;;;;;krEa;krEô;krEe;kre;krEâ;;;;krErE;;krErE;;kre;krEe;;kre;kre;;;;;;;kre
892;crépiter;;;;;krEpitEr;krEpita;;;;;;;;;;;;krEpitE;krEpite;;;;;;;;;krEpit;krEpitâ;;;;;;;;;;;krEpit;krEpit;;;;;;;
893;crêper;;;;;;;;;;;;;;;;;krEpE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
894;cuber;;;;;;;;;;;;;;;;;;;;;kybas;;;;;;;;;;;;;;;;;;;;;;;;;;;
895;cueillir;;k6ji;;;;k6ji;;;;;;;;;;;k6jE;k6jE;k6jir;;;;;;;;;k9j;k6jâ;;;;;;;;k9j;k6je;;k9j;k9j;;;;;;;
896;cuirasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kHiras;;;;;;;;;;;
897;cuire;;;;;;;;;;;;;;;;;kHizE;kHizE;kHir;;;;;;;kHizô;;kHi;kHizâ;;;;;;;kHizô;kHi;kHize;;;kHi;;;kHiz;;;;kHiz
898;cuisiner;;;;;;kHizina;;kHizin6rE;;kHizin6ra;;;;kHizinE;;kHizinE;;kHizinE;kHizine;;;;;;;;kHizine;kHizin;kHizinâ;;;;;;;;kHizin;kHizine;kHizin;kHizin;kHizin;;;;;;;kHizin
899;cuiter;;;;;;;;;;;;;;;;;;;kHite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
900;culbuter;;;;;;kylbyta;;;;;;;;;;;;;kylbyte;;;;;;;;;kylbyt;;;;;;;;;kylbyt;;;;kylbyt;;;;;;;
901;culminer;;;;;;;;;;;;;;;;;;kylminE;;;;;;;;;;;kylminâ;;;;;;;;;;;;;;;;;;;
902;culpabiliser;;;;;;;;;;;;;;kylpabilizE;kylpabilizje;;;;kylpabilize;;;;;;;;;kylpabiliz;;;;;;;;;;;kylpabiliz;;kylpabiliz;;;;;;;
903;cultiver;;;;;;;;;;;;;;kyltivE;;;kyltivE;kyltivE;kyltive;;;;;;;;kyltive;kyltiv;kyltivâ;;;;;kyltiv6rE;;;kyltiv;kyltive;;kyltiv;kyltiv;;;;;;;
904;cumuler;;;;;;;;;;;;kymyl6ra;;;;;;;;;;;;;;;;;;;;;;;;;kymyl;;;;;;;;;;;
905;curer;;;;;;kyra;;;;;;;;;;;;kyrE;kyre;;;;;;;;;;;;;;;;;;kyr;;;;kyr;;;;;;;
906;cuver;;;;;;;;;;;;;;;;;kyvE;;kyve;;;;;;;;;;;;;;;;;;kyv;;;;kyv;;;;;;;
907;câbler;;;;;;;;;;;;;;;;;;;;;;;;;;;kable;;;;;;;;;;;;;;;;;;;;;
908;câliner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kalin;;;;;;;
909;céder;;sEdE;;;;sEda;;sEd6rE;;;;sEd6ra;;sEdE;;;sEdE;sEdE;sEde;;;;;;;sEdô;sEde;sEd;sEdâ;;sEd6rE;sEd6rje;sEd6rE;;sEd6rE;;sEd;sEde;;sEd;sEd;;;;;;;
910;célébrer;sElEbram;;;;;sElEbra;;;;;;;;;;sElEbrE;sElEbrE;sElEbrE;sElEbre;;;;;;;sElEbrô;;sElEbr;sElEbrâ;;;;;;;sElEbrô;sElEbr;;;sElEbr;sElEbr;;;;;;;sElEbr
911;côtoyer;;;;;;;;;;;;;;kOtwajE;;;;;;;;;;;;;;;;;;;;;;;kOtwa;;;kOtwa;kOtwa;;;;;;;
912;dactylographier;;;;;;;;;;;;;;;;;;;daktilOgrafje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
913;daigner;;;;;;dEJa;;;;;;dEJ6ra;;;;;dEJE;dEJE;;;;;;;;;dEJe;dEJ;dEJâ;;;;;dEJ6rE;;;dEJ;dEJe;;;dEJ;;;;;;;
914;daller;;;;;;;;;;;;;;;;;;;dale;;;;;;;;;;;;;;;;;;;;;;dal;;;;;;;
915;damer;;;;;;;;;;;;;;;;;;;;;;;;;;;;dam;;;;;;;;;dam;;dam;;dam;;;;;dam;;
916;damner;;;;;;;;;;;;;;;;;;;dane;;;;;;;;;;danâ;;dan6rE;;;;;;dan;;;;;;;;;;;
917;dandiner;;;;;;;;;;;;;;;;;;dâdinE;;;;;;;;;;;dâdinâ;;;;;;;;dâdin;;;dâdin;dâdin;;;;;;;
918;danser;;;;;dâsEr;dâsa;;dâs6rE;dâs6re;dâs6ra;;dâs6ra;;dâsE;;dâsE;dâsE;dâsE;dâse;;;;;;;dâsô;dâse;dâs;dâsâ;;;;;dâs6rE;dâs6rE;dâsô;dâs;dâse;dâs;dâs;dâs;;;;;dâs;;dâs
919;darder;;;;;;;;;;;;;;;;;;dardE;;;;;;;;;;;dardâ;;;;;;;;dard;;;;dard;;;;;;;
920;dater;;;;;;data;;;;;;;;;;;datE;datE;date;;;;;;;;;dat;datâ;;;;;;;;dat;;dat;dat;dat;;;;;;;
921;demander;;d6mâdE;;;d6mâdEr;d6mâda;;d6mâd6rE;d6mâd6re;d6mâd6ra;;d6mâd6ra;d6mâdjô;d6mâdE;d6mâdje;d6mâdE;d6mâdE;d6mâdE;d6mâde;;;;;;d6mâda;d6mâdô;d6mâde;d6mâd;d6mâdâ;;d6mâd6rE;d6mâd6rje;d6mâd6rE;d6mâd6rE;d6mâd6rE;d6mâdô;d6mâd;d6mâde;d6mâd;d6mâd;d6mâd;;;d6mâd;;d6mâd;d6mâd;d6mâd
922;demeurer;d6m6ram;d6m6rE;;;d6m6rEr;d6m6ra;;;;;;d6m6r6ra;d6m6rjô;d6m6rE;;;d6m6rE;d6m6rE;d6m6re;;;;;;d6m6ra;;;d6m9r;d6m6râ;;;;;;d6m6r6rE;;d6m9r;d6m6re;d6m9r;d6m9r;d6m9r;;;;;;;
923;descendre;dEsâdim;dEsâdi;;;dEsâdir;dEsâdi;dEsâdrô;dEsâdrE;;;dEsâdrô;dEsâdra;dEsâdjô;dEsâdE;dEsâdje;dEsâdE;dEsâdE;dEsâdE;dEsâdr;;;;;;;dEsâdô;dEsâde;dEsâ;dEsâdâ;dEsâdriô;dEsâdrE;;dEsâdrE;dEsâdrE;dEsâdrE;dEsâdô;dEsâ;dEsâde;dEsâ;dEsâd;dEsâ;;;dEsâd;;dEsâd;dEsâd;dEsâd
924;dessaisir;;;;;;;;;;;;;;;;;;;dEsEzir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
925;dessaler;;;;;;;;;;;;;;;;;;dEsalE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
926;dessaouler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dEsul;;;;;;;
927;desseller;;;;;;;;;;;;;;;;;;;dEsEle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
928;desserrer;;dEsErE;;;dEsErEr;dEsEra;;;;;;;;dEsErE;;;;dEsErE;dEsEre;;;;;;;;dEsEre;dEsEr;dEsErâ;;;;;;;;dEsEr;dEsEre;;;dEsEr;;;;;;;
929;dessertir;;;;;;;;;;;;;;;;;;;dEsErtir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
930;desservir;;;;;;;;;;;dEsErvirô;;;;;;;dEsErvE;;;;;;;;;;;dEsErvâ;;;;;;;;;;;;dEsEr;;;;;;;
931;dessiner;;dEsinE;;;dEsinEr;dEsina;;dEsin6rE;;;;;;dEsinE;;;dEsinE;dEsinE;dEsine;;;;;;;;dEsine;dEsin;dEsinâ;;;;;;;;dEsin;dEsine;dEsin;dEsin;dEsin;;;;;;;
932;dessouder;;;;;;;;;;;;;;;;;;;dEsude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
933;dessoûler;;;;;;;;;;;;;;;;;;dEsulE;dEsule;;;;;;;;;dEsul;;;;;;;;;;dEsule;;;dEsul;;;;;;;
934;dessécher;;;;;;;;;;;;;;;;;dEsESE;;dEsESe;;;;;;;;;dEsES;dEsESâ;;;;;;;;dEsES;;;;dEsES;;;dEsES;;;;
935;destiner;;;;;;;;;;;;;;;;;dEstinE;dEstinE;;;;;;;;;;;;;;;;;;;dEstin;dEstine;;;;;;;;;;
936;devancer;;;;;d6vâsEr;d6vâsa;;;;;;;;;;;d6vâsE;d6vâsE;d6vâse;;;;;;;;;d6vâs;d6vâsâ;;;;;;;;d6vâs;;;;;;;;;;;
937;devenir;;d6vê;;;d6vêr;d6vê;d6vjêdrô;d6vjêdrE;d6vjêdre;d6vjêdra;d6vjêdrô;d6vjêdra;;d6v6nE;d6v6nje;d6v6nE;d6v6nE;d6v6nE;d6v6nir;;;;;;d6vê;d6v6nô;d6v6ne;d6vjê;d6v6nâ;d6vjêdriô;d6vjêdrE;d6vjêdrie;d6vjêdrE;d6vjêdrE;d6vjêdrE;d6v6nô;d6vjê;d6v6ne;d6vjê;d6vjEn;d6vjê;;;d6vjEn;;d6vjEn;;d6vjEn
938;deviner;;d6vinE;;;;d6vina;;;d6vin6re;d6vin6ra;;;;d6vinE;;d6vinE;d6vinE;d6vinE;d6vine;;;;;;d6vina;d6vinô;d6vine;d6vin;d6vinâ;;;;d6vin6rE;;d6vin6rE;;d6vin;d6vine;d6vin;;d6vin;;;;;d6vin;;
939;deviser;;;;;;;;;;;;;;;;;d6vizE;;d6vize;;;;;;;;;;d6vizâ;;;;;;;;;;;d6viz;;;;;;;;
940;devoir;dym;dy;;;dyr;dy;d6vrô;d6vrE;d6vre;d6vra;d6vrô;d6vra;d6vjô;d6vE;d6vje;d6vE;d6vE;d6vE;d6vwar;dysjô;dys;dysje;;dys;dy;d6vô;d6ve;dwa;d6vâ;d6vriô;d6vrE;d6vrie;d6vrE;d6vrE;d6vrE;d6vô;dwa;d6ve;dwa;dwav;dwa;dy;;dwav;d6vje;;dwav;dwav
941;diagnostiquer;;;;;;djagnOstika;;;;;;;;;;;;;djagnOstike;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
942;dialoguer;;;;;;;;;;;;;;;;;;;djalOge;;;;;;;djalOgô;;;djalOgâ;;;;;;;;;;;;;;;;;;;
943;diamanter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;djamât;;;;;;;
