;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
89;affaler;;;;;afalEr;afala;;;;;;;;;;;;afalE;afale;;;;;;;;;;;;;;;;;afalô;afal;;;afal;afal;;;;;;;
90;affamer;;;;;;;;;;;;;;;;;;afamE;afame;;;;;;;;afame;;;;;;;;;;;;;;afam;;;;;;;
91;affecter;afEktam;;;;afEktEr;afEkta;;;;;;;;;;;afEktE;afEktE;afEkte;;;;;;;;;afEkt;afEktâ;;;;;;;;afEkt;;;afEkt;afEkt;;;;;;;
92;affectionner;;;;;;;;;;;;;;afEksjOnE;;;;afEksjOnE;;;;;;;;;;;;;;;;;;;afEksjOn;;;;;;;;;;;
93;affermir;;;;;;;;;;;;;;;;;afErmisE;afErmisE;afErmir;;;;;;;;;;;;;;;;;;;;;;afErmi;;;;;;;
94;afficher;;;;;afiSEr;afiSa;;;;;;;;;;afiSE;afiSE;afiSE;afiSe;;;;;;;;;afiS;;;;;;;;afiSô;afiS;;;afiS;afiS;;;;;;;
95;affiner;;;;;;;;;;;;;;;;;;;afine;;;;;;;;;;;;;;;;;;;;;;afin;;;;;;;
96;affirmer;;afirmE;;;afirmEr;afirma;;afirm6rE;;;;;;afirmE;;afirmE;afirmE;afirmE;afirme;;;;;;afirma;;afirme;afirm;afirmâ;;;;;;;afirmô;afirm;afirme;;afirm;afirm;;;;;;;afirm
97;affleurer;;;;;;;;;;;;;;;;;afl6rE;afl6rE;afl6re;;;;;;;;;afl9r;;;;;;;;;;;;;afl9r;;;;;;;
98;affliger;;;;;;afliZa;;;;;;;;;;;;afliZE;;;;;;;;;afliZe;afliZ;afliZâ;;;;;;;;afliZ;;;;afliZ;;;;;;;
99;affluer;;;;;aflyEr;aflya;;;;;;;;;;;aflyE;;aflye;;;;;;;;;;;;;;;;;;;;;afly;afly;;;;;;;
100;affoler;;;;;afOlEr;afOla;;;;;;afOl6ra;;;;;;afOlE;afOle;;;;;;;;;afOl;;;;;afOl6rE;;;;afOl;afOle;;;afOl;;;;;;;
101;affranchir;;;;;;afrâSi;;;;;;;;;;;;afrâSisE;afrâSir;;;;;;;;;afrâSi;afrâSisâ;;;;;;afrâSirE;;afrâSi;;afrâSi;;afrâSi;;;afrâSis;;;;afrâSis
102;affriander;;;;;;;;;;;;;;;;;;;afriâde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;affronter;;;;;afrôtEr;;afrôt6rô;;;afrôt6ra;;afrôt6ra;afrôtjô;;;;afrôtE;afrôtE;afrôte;;;;;;;afrôtô;afrôte;afrôt;afrôtâ;;;;;;afrôt6rE;;afrôt;afrôte;afrôt;afrôt;afrôt;;;;;;;afrôt
104;affubler;;;;;;;;;;;;;;;;;;afyblE;afyble;;;;;;;;;;afyblâ;;;;;;afybl6rE;;;;;;afybl;;;;;;;
105;affûter;;;;;;afyta;;afyt6rE;;;;;;;;;;;afyte;;;;;;;;;;afytâ;;;;;;;;;;;;;;;;;;;
106;agacer;;;;;;agasa;;;;;;;;agasE;;;;agasE;agase;;;;;;;;;agas;;;;;;;;;agas;;agas;agas;agas;;;;;;;
107;agencer;;;;;;;;;;;;;;;;;;;aZâse;;;;;;;;;;;;;;;;;;;;;;aZâs;;;;;;;
108;agenouiller;;aZ6nujE;;;;aZ6nuja;;;;;;;;;;;aZ6nujE;aZ6nujE;aZ6nuje;;;;;;;aZ6nujô;aZ6nuje;aZ6nuj;;;;;;;;;aZ6nuj;aZ6nuje;;aZ6nuj;aZ6nuj;;;;;;;
109;agglomérer;;;;;;;;;;;;;;;;;;;aglOmEre;;;;;;;;;;;;;;;;;;;;;aglOmEr;;;;;;;;
110;agglutiner;;;;;aglytinEr;aglytina;;;;;;;;;;;;;;;;;;;;;;;aglytinâ;;;;;;;;;;;aglytin;aglytin;;;;;;;
111;aggraver;;;;;;;;;;;;;;;;;agravE;agravE;agrave;;;;;;;;;agrav;;;;;;;agrav6rE;;agrav;agrave;;;agrav;;;;;;;
112;agir;;;;;aZir;aZi;;aZirE;;aZira;;aZira;;aZisE;aZisje;aZisE;aZisE;aZisE;aZir;;;;;;aZi;;aZise;aZi;aZisâ;;aZirE;aZirje;;aZirE;aZirE;aZisô;aZi;aZise;aZi;aZis;aZi;;;aZis;;;;aZis
113;agiter;;;;;aZitEr;aZita;;;;;aZit6rô;;;aZitE;;;aZitE;aZitE;aZite;;;;;;;;aZite;aZit;aZitâ;;;;;;aZit6rE;;aZit;aZite;aZit;aZit;aZit;;;;;;;
114;agneler;;;;;;aJ6la;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;agonir;;;;;;;;;;;;;;;;;;;agOnir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;agoniser;;;;;;;;;;;;;;;;;agOnizE;agOnizE;agOnize;;;;;;;;;;agOnizâ;;;;;;;;agOniz;;;;agOniz;;;;;;;
117;agrafer;;;;;;;;;;;;;;;;;;;agrafe;;;;;;;;;agraf;;;;;;;;;agraf;;;;agraf;;;;;;;
118;agrandir;;;;;agrâdir;agrâdi;;;;;;agrâdira;;;;;agrâdisE;agrâdisE;agrâdir;;;;;;;;;agrâdi;agrâdisâ;;;;;;;;agrâdi;;agrâdi;;agrâdi;;;;;;;
119;agresser;;;;;;;;;;;;;;;;agrEsE;;;agrEse;;;;;;;;;agrEs;;;;;;;;;agrEs;;;;agrEs;;;;;;;
120;agripper;;agripE;;;;agripa;;;;;;;;;;;;agripE;agripe;;;;;;;;;agrip;agripâ;;;;;;;;agrip;;agrip;agrip;agrip;;;;;;;
121;agréer;;;;;;agrEa;;;;;;;;;;;;;agrEe;;;;;;;;;;;;;;;;;;;agrEe;;;;;;;;;;
122;agrémenter;;;;;;;;;;;;;;;;;;agrEmâtE;agrEmâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;ahaner;;;;;;aana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aan;;;;aan;;;;;;;
124;ahurir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ayrisâ;;;;;;;;;;;;;;;;;;;
125;aider;;;;;EdEr;Eda;Ed6rô;Ed6rE;Ed6re;Ed6ra;Ed6rô;Ed6ra;;EdE;Edje;EdE;EdE;EdE;Ede;;;;;;Eda;Edô;Ede;Ed;Edâ;;Ed6rE;;Ed6rE;Ed6rE;Ed6rE;Edô;Ed;Ede;Ed;Ed;Ed;;;Ed;Edje;Ed;Ed;Ed
126;aigrir;;;;;;;;;;;;;;;;;EgrisE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;aiguiller;;;;;;;;;;;;;;;;;;;EgHije;;;;;;;;;EgHij;;;;;;;;;EgHij;;EgHij;;;;;;;EgHij;;
128;aiguillonner;;;;;;;;;;;;;;;;;EgHijOnE;EgHijOnE;;;;;;;;;;;EgHijOnâ;;;;;;;;;;;EgHijOn;;;;;;;;
