;lexeme;ai1S;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
213;coûter;;;;;;;;;;;;;;;;;;;;;;;kut;;;;;;;;;kut;;;kut;kut;;;;;;;;;;
214;cracher;;;;;;;;;;;;;;;;;;;;;;;kraS;;;;;;;;;;;;;;;;;;;;;;;
215;craindre;;;;;;;;;;;;;;;;;;;;;;;krê;;;;krêdrie;;;;;krê;;krê;;krê;;;;krê;;;;;;
216;cramer;;;;;;;;;;;;;;;;;krame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
217;craquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krak;;;;;;;;krake;;;;;;
218;creuser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;kr6ze;;;;;;;;;
219;crever;;;;;;;;;;;;;;;;;;;;;;;krEv;;;;;;;;;;;;;;;;;;;;;;;
220;crier;;;;krja;;;;;;;;;;;;;krie;;;;;;kri;kriâ;;;;;;;;kri;;kri;;;;;;;;;;kri;;
221;croire;;;;;;;;;;;;krwajE;;krwajE;;krwajE;krwar;;;;;krwaje;krwa;;;;;;;krwarE;;krwa;krwaje;krwa;;krwa;;;;kry;;;;;;
222;croître;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;krwas;;;;;;;;;;;
223;créer;;;;;;;;;;;;;;;;;;;;;;;kre;;;;;;;;;;;;;;krEe;;;;;;;;;
224;cueillir;;;;;;;;;;;;;;;;;k6jir;;;;;;;;;;;;;;;;;;;k9j;;;;k6ji;;;;;;
225;céder;;;;;;;;;;;;;;;;;sEde;;;;;;;;;;;;;;;sEd;;;;;;;;sEde;;;;;;
226;célébrer;;;;;;;;;;;;;;;;;;;;;sElEbrô;;sElEbr;;;;;;;;;;;;;;;;;;;;;;;
227;damer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dam;;;;;;;;;;
228;danser;;;;;;;;;;;;;;dâsE;;;dâse;;;;;;dâs;;;;;;;;;dâs;;;;;;;;dâse;;;;dâs;;dâs
229;dater;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dat;;;dat;;;;;;;;;;;
230;demander;d6mâdE;;d6mâdEr;;;;;;;;;;;d6mâdE;;;d6mâde;;;;;;d6mâd;;;;;;;;;d6mâd;d6mâde;;;d6mâd;;;d6mâde;d6mâde;;d6mâd;;;;d6mâd
