;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2P;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppMP;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
1690;flétrir;;;;;;;;;;;;;;;;;;flEtrisE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1691;focaliser;;;;;;;;;;;;;;;;;;;fOkalize;;;;;;;;fOkalize;fOkaliz;;;;;;;;;fOkaliz;;;;fOkaliz;;;;;;;
1692;foirer;;;;;;;;;;;;;;;;;;;fware;;;;;;;;;fwar;;;;;;;;;fwar;;;fwar;fwar;;;;;;;
1693;foisonner;;;;;;;;;;;;;;;;;fwazOnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1694;folâtrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;fOlatr;;;;;;;;;;;;;fOlatr;;;;;;;
1695;fomenter;;;;;;;;;;;;;;;;;;;fOmâte;;;;;;;;;;;;;;;;;;fOmât;;;;;;;;;;;
1696;foncer;;;;;;fôsa;;;;;;;;fôsE;;;;fôsE;fôse;;;;;;;;fôse;fôs;fôsâ;;;;;;;;fôs;fôse;fôs;fôs;fôs;;;;;fôs;;fôs
1697;fonctionner;;;;;;fôksjOna;;;;;fôksjOn6rô;fôksjOn6ra;;;;;fôksjOnE;fôksjOnE;fôksjOne;;;;;;;;;fôksjOn;fôksjOnâ;;;;;;fôksjOn6rE;;fôksjOn;;;fôksjOn;fôksjOn;;;;;;;
1698;fonder;;;;;;fôda;;;;;;;;fôdE;;fôdE;fôdE;fôdE;fôde;;;;;;;;;fôd;fôdâ;;fôd6rE;;;;;;fôd;;;fôd;fôd;;;;;;fôd;
1699;fondre;;;;;;fôdi;;;;;;;;;;;;;fôdr;;;;;;;;;fô;;;;;;;;;fô;;fô;;fô;;;;;;;
1700;forcer;;fOrsE;;;;fOrsa;;fOrs6rE;fOrs6re;;fOrs6rô;fOrs6ra;;fOrsE;;fOrsE;;fOrsE;fOrse;;;;;;;fOrsô;fOrse;fOrs;fOrsâ;;;;;;fOrs6rE;fOrsô;fOrs;fOrse;fOrs;fOrs;fOrs;;;;;fOrs;;
1701;forer;;;;;;;;;;;;;;;;;;fOrE;fOre;;;;;;;;;fOr;;;;;;;;;fOr;;;;;;;;;;;
1702;forger;;;;;;;;;;;;fOrZ6ra;fOrZjô;;;;fOrZE;;fOrZe;;;;;;;;;fOrZ;;;;;;;;;fOrZ;;;fOrZ;fOrZ;;;;;;;
1703;formaliser;;;;;;;;;;;;;;;;;;fOrmalizE;;;;;;;;;;;;;;;;;;;fOrmaliz;;;;;;;;;;;
1704;former;;;;;fOrmEr;fOrma;fOrm6rô;fOrm6rE;;;fOrm6rô;fOrm6ra;fOrmjô;;;;fOrmE;fOrmE;fOrme;;;;;;;fOrmô;fOrme;fOrm;fOrmâ;;;;;fOrm6rE;fOrm6rE;fOrmô;fOrm;fOrme;;fOrm;fOrm;;;;;;fOrm;
1705;formuler;;;;;;;;;;;;fOrmyl6ra;;fOrmylE;;;;fOrmylE;fOrmyle;;;;;;;;;fOrmyl;fOrmylâ;;;;;;;;fOrmyl;;;;fOrmyl;;;;;;;
1706;forniquer;;;;;;;;;;;;;;;;;;fOrnikE;fOrnike;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1707;fortifier;;;;;;;;;;;;;;;;;;fOrtifjE;fOrtifje;;;;;;;fOrtifjô;fOrtifje;fOrtifi;fOrtifjâ;;;;;;;;fOrtifi;;;fOrtifi;;;;;;;;
1708;foudroyer;;;;;;;;;;;;;;;;;;fudrwajE;fudrwaje;;;;;;;;;;;;;;;;;;;;;;fudrwa;;;;;;;
1709;fouetter;;;;;;;;fwEt6rE;;;;;;;;;;fwEtE;fwEte;;;;;;;;fwEte;fwEt;fwEtâ;;;;;;;;fwEt;;;fwEt;fwEt;;;;;;;
1710;fouiller;;;;;fujEr;fuja;;fuj6rE;;;;;;fujE;fuje;fujE;fujE;fujE;fuje;;fujas;;;;;fujô;fuje;fuj;fujâ;;;;;;;fujô;fuj;fuje;fuj;fuj;fuj;;;;;;;fuj
1711;fouiner;;;;;;;;;;;;;;;;;;fwinE;fwine;;;;;;;;fwine;fwin;;;;;;;;;fwin;fwine;;;fwin;;;;;;;
1712;fouler;;;;;fulEr;;;;;;;;;;;;fulE;fulE;fule;;;;;;;;;;;;;;;ful6rE;;fulô;ful;;;;ful;;;;;;;
1713;fourgonner;;;;furgOna;;;;;;;;;;;;;;;furgOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1714;fourguer;;;;;;;;;;;;;;;;;;furgE;furge;;;;;;;;;furg;;;;;;;;;furg;;;;furg;;;;;;;
1715;fourmiller;;;;;;;;;;;;;;;;;;furmijE;furmije;;;;;;;;;;;;;;;;;;furmij;;;;;;;;;;;
1716;fournir;;;;;;furni;;furnirE;furnire;;;furnira;furnisjô;;;;furnisE;furnisE;furnir;;;;;;;;furnise;furni;furnisâ;;;;;furnirE;furnirE;furnisô;furni;furnise;furni;furnis;furni;;;;;;;furnis
1717;fourrager;;;;;;furaZa;;;;;;;;;;;furaZE;furaZE;furaZe;;;;;;;;;;;;;;;;;;;;;;furaZ;;;;;;;
1718;fourrer;;furE;;;;fura;;fur6rE;;;;;;;;;furE;;fure;;;;;;;;;fur;furâ;;;;;;;furô;fur;fure;;;fur;;;;;;;
1719;fourvoyer;;;;;;;;;;;;;;;;;;;furvwaje;;;;;;;;;;furvwajâ;;;;;;;;;;;;furvwa;;;;;;;
1720;foutre;;;;;;;;futrE;;futra;futrô;futra;;futE;futje;futE;futE;futE;futr;;;;;;;futô;fute;;futâ;;futrE;;futrE;;futrE;futô;fu;fute;fu;fut;fu;;;fut;;fut;;fut
1721;fracasser;;;;;;;;;;;;frakas6ra;;;;;;;frakase;;;;;;;;;frakas;frakasâ;;;;;;;;frakas;;;frakas;frakas;;;;;;;
1722;fractionner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fraksjOn;;;;;;;
1723;fracturer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fraktyr;;;;fraktyr;;;;;;;
1724;fragmenter;;;;;;;;;;;;;;;;;fragmâtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1725;fraiser;;;;;;;;;;;;;;;;;;;frEze;;;;;;;;;;;;;;;;;;;;;;frEz;;;;;;;
1726;franchir;;;;;frâSir;frâSi;;;frâSire;;frâSirô;;;;;;;frâSisE;frâSir;;;;;;;frâSisô;;frâSi;frâSisâ;;;;;;;frâSisô;frâSi;;frâSi;frâSis;frâSi;;;;;;;
1727;franger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;frâZ;;;;;;;
1728;frapper;;frapE;;;frapEr;frapa;frap6rô;frap6rE;frap6re;;;frap6ra;;frapE;frapje;frapE;frapE;frapE;frape;;;;;;;;frape;frap;frapâ;;;frap6rje;;frap6rE;frap6rE;;frap;frape;frap;frap;frap;;;frap;;frap;;
1729;fraterniser;;;;;;fratErniza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fratErniz;;;;;;;
1730;frauder;;;;;;;;;;;;;;;;;;;frOde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1731;frayer;;;;;;frEja;;;;;;;;;;;frEjE;frEjE;frEje;;;;;;;;;frEj;frEjâ;;;;;;;;frE;;;frE;frEj;;;;;;;
1732;fraîchir;;;;;;frESi;;;;;;;;;;;;frESisE;frESir;;;;;;;;;;frESisâ;;;;;;;;;;;;frESi;;;;;;;
1733;fredonner;;;;;;fr6dOna;;;;;;;;;;;fr6dOnE;fr6dOnE;fr6dOne;;;;;;;;;fr6dOn;fr6dOnâ;;;;;;;;fr6dOn;;;fr6dOn;fr6dOn;;;;;;;
1734;freiner;;;;;;frEna;;;;;;;;;;;frEnE;frEnE;frEne;;;;;;;;frEne;frEn;;;;;;;;frEnô;frEn;;;;frEn;;;;;;;
1735;fricoter;;;;;;;;;;;;;;frikOtE;;frikOtE;;;;;;;;;;;;frikOt;;;;;;;;;frikOt;;frikOt;;;;;;;;;
1736;frictionner;;;;;;friksjOna;;;;;;;;;;;;friksjOnE;friksjOne;;;;;;;;;;;;;;;;;;friksjOn;;;;friksjOn;;;;;;;
1737;fringuer;;;;;;;;;;;;;;;;;;;frêge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1738;friper;;;;;;fripa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1739;frire;;;;;;;;;;;;;;;;;;;frir;;;;;;;;;;;;;;;;;;;;;;fri;;;;;;;
1740;friser;;;;;;;;;;;;;;frizE;;;;;frize;;;;;;;;;friz;frizâ;;;;;;;;;;;friz;;;;;;;;
1741;frissonner;;;;;;frisOna;;;;;;;;frisOnE;;;frisOnE;frisOnE;frisOne;;;;;;;;;frisOn;frisOnâ;;;;;;;;frisOn;;;frisOn;frisOn;;;;;;;
1742;froisser;;;;;;frwasa;;;;;;frwas6ra;;frwasE;;;frwasE;frwasE;frwase;;;;;;;;;frwas;;;;;;;;;frwas;;frwas;frwas;frwas;;;;;;;
1743;froncer;;;;;;frôsa;;;;;;;;;;;;frôsE;frôse;;;;;;;;;frôs;frôsâ;;;;;;;;frôs;;;;frôs;;;;;;;
1744;frotter;;frOtE;;;frOtEr;frOta;frOt6rô;;;;;frOt6ra;;frOtE;;frOtE;frOtE;frOtE;frOte;;;;;;;;;frOt;frOtâ;;;;;;;;frOt;frOte;frOt;frOt;frOt;;;frOt;;;;
1745;fructifier;;;;;;;;;;;;;;;;;;;fryktifje;;;;;;;;;;fryktifjâ;;;;;;;;;;;;;;;;;;;
1746;frustrer;;;;;;;;;;;;;;;;;;frystrE;frystre;;;;;;;;;;;;;;;;;;;;;;frystr;;;;;;;
1747;frémir;;;;;;frEmi;;;;;;;;frEmisE;;;frEmisE;frEmisE;frEmir;;;;;;;;;;frEmisâ;;;;;;;;frEmi;;frEmi;;frEmi;;;;;;;
1748;fréquenter;;;;;frEkâtEr;frEkâta;;;;;;;frEkâtjô;frEkâtE;;frEkâtE;frEkâtE;frEkâtE;frEkâte;;;;;;;;;frEkât;frEkâtâ;;frEkât6rE;;;;frEkât6rE;;frEkât;;frEkât;frEkât;frEkât;;;;;;;frEkât
1749;frétiller;;;;;;;;;;;;;;;;;;;frEtije;;;;;;;;;frEtij;frEtijâ;;;;;;;;frEtij;;;;frEtij;;;;;;;
1750;frôler;;;;;;frOla;;;;;;;;frOlE;;;frOlE;frOlE;frOle;;;;;;;;;frol;frOlâ;;;;;;frOl6rE;;frol;;;frol;frol;;;;;;;
1751;fuguer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fyg;;;;;;;;
1752;fuir;;;;;;fHi;;;;;;;fHijô;fHijE;;fHijE;fHijE;fHijE;fHir;;;;;;;fHijô;fHije;fHi;fHijâ;;;;fHirE;;fHirE;fHijô;fHi;fHije;fHi;fHi;fHi;;;;;;;fHi
1753;fulgurer;;;;;;;;;;;;;;;;;;;fylgyre;;;;;;;;;;;;;;;;;;;;;fylgyr;;;;;;;;
1754;fulminer;;;;;;fylmina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1755;fumer;fymam;;;;fymEr;fyma;;fym6rE;;;;;fymjô;fymE;fymje;fymE;fymE;fymE;fyme;;;;;;;fymô;fyme;fym;fymâ;;;;;;;fymô;fym;fyme;fym;fym;fym;;;;;;;
1756;fumeronner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fym6rOn;;;;;;;
1757;fureter;;;;;;;;;;;;;;;;;;;fyr6te;;;;;;;;;;fyr6tâ;;;;;;;;;;;;;;;;;;;
1758;fuser;;;;;fyzEr;fyza;;;;;;;;;;;fyzE;fyzE;fyze;;;;;;;;;;fyzâ;;;;;;;;fyz;;;fyz;fyz;;;;;;;
1759;fusiller;;;;;;;;;;;fyzij6rô;fyzij6ra;;;;;;fyzijE;fyzije;;;;;;;;;fyzij;fyzijâ;;;;;;fyzij6rE;;fyzij;;;fyzij;;;;;;;;
1760;fusionner;;;;;;;;;;;;;;;;;fyzjOnE;;;;;;;;;;;fyzjOn;;;;;;;;;;;;;;;;;;;;
1761;fustiger;;;;;;;;;;;;;;;;;;;fystiZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1762;fâcher;;;;;faSEr;faSa;;;;faS6ra;;;;;;;faSE;faSE;faSe;;;;;;;;faSe;faS;;;;;;;;;faS;faSe;faS;faS;faS;;;;;;;
1763;féconder;;;;;;;;;;;;;;;;;;;fEkôde;;;;;;;;;;;;;;;;;;fEkôd;;;;fEkôd;;;;;;;
1764;féliciter;fElisitam;fElisitE;;;fElisitEr;fElisita;;;;;;;;fElisitE;;;fElisitE;fElisitE;fElisite;;;;;;;fElisitô;fElisite;fElisit;;;;;;;;fElisitô;fElisit;;;;fElisit;;;;;;;
1765;fêler;;;;;;;;;;;;;;;;;;;fEle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1766;fêter;;;;;;;fEt6rô;;;;;fEt6ra;;;;;fEtE;fEtE;fEte;;;;;;;fEtô;fEte;fEt;;;;;;;fEt6rE;fEtô;fEt;fEte;;;fEt;;;;;;;
1767;gaffer;;;;;;;;;;;;;;;;;;;gafe;;;;;;;;;gaf;gafâ;;;;;;;;gaf;;gaf;;gaf;;;;;;;
1768;gager;;;;;;;;;;;;;;;;;;;;;;;;;;gaZô;;gaZ;;;gaZ6rE;;;;;;gaZ;;;;gaZ;;;;;;;
1769;gagner;gaJam;gaJE;;;gaJEr;gaJa;;gaJ6rE;gaJ6re;gaJ6ra;gaJ6rô;gaJ6ra;;gaJE;;gaJE;gaJE;gaJE;gaJe;;;;;;;gaJô;gaJe;gaJ;gaJâ;;gaJ6rE;;gaJ6rE;gaJ6rE;gaJ6rE;gaJô;gaJ;gaJe;gaJ;gaJ;gaJ;;;;;gaJ;;gaJ
1770;gainer;;;;;;;;;;;;;;;;;gEnE;gEnE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1771;galoper;;;;;;;;;;;;;;;;;galOpE;galOpE;galOpe;;;;;;;;;galOp;galOpâ;;;;;;;;galOp;;;galOp;galOp;;;;;;;
1772;gambader;;;;;;;;;;;;;;;;;;;gâbade;;;;;;;;;;;;;;;;;;gâbad;;;;;;;;;;;
1773;gamberger;;;;;;gâbErZa;;;;;;;;;;;;;gâbErZe;;;;;;;;;;;;;;;;;;gâbErZ;;;;gâbErZ;;;;;;;
1774;gambiller;;;;;;;;;;;;;;;;;;gâbijE;;;;;;;;;;;;;;;;;;;gâbij;;;;gâbij;;;;;;;
1775;gangrener;;;;;;;;;;;;;;;;;;;gâgr6ne;;;;;;;;;;;;;;;;;;;;;;gâgrEn;;;;;;;
1776;garantir;;;;;;garâti;;;;;;garâtira;;;;;;garâtisE;garâtir;;;;;;;;;garâti;garâtisâ;;;;;;garâtirE;;garâti;;garâti;garâtis;garâti;;;;;;;garâtis
1777;garder;gardam;gardE;;;gardEr;garda;gard6rô;gard6rE;gard6re;gard6ra;gard6rô;gard6ra;gardjô;gardE;;gardE;gardE;gardE;garde;;;;;;;gardô;garde;gard;gardâ;gard6rjô;gard6rE;;gard6rE;;gard6rE;gardô;gard;garde;gard;gard;gard;;;gard;;gard;gard;gard
1778;garer;;;;;;gara;;;;;;;;;;;garE;garE;gare;;;;;;;;gare;gar;;;;;;;;;gar;gare;gar;;gar;;;;;gar;;
1779;gargariser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gargariz;;;;;;;
1780;garnir;;;;;;;;;;;;;;;;;garnisE;;garnir;;;;;;;;;;;;;;;;;;;;garni;garnis;;;;;;;;
1781;garrotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;garOt;;;;garOt;;;;;;;
1782;gaspiller;;;;;;;;;;;;;;;;;;gaspijE;gaspije;;;;;;;;;gaspij;;;;;gaspij6rE;;;gaspijô;gaspij;gaspije;gaspij;gaspij;gaspij;;;;;;;
1783;gauchir;;;;;;;;;;;;;;;;;;gOSisE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1784;gausser;;;;;;;;gOs6rE;;;;;;;;;;gOsE;;;;;;;;;;gos;;;;;;;;;;;;;gos;;;;;;;
1785;gaver;;;;;;;;;;;;;;;;;;gavE;gave;;;;;;;;;gav;gavâ;;;;;;;;gav;;;gav;gav;;;;;;;
1786;gazer;;;;;;;;;;;;;;;;;;gazE;;;;;;;;;;gaz;;;;;;;;;gaz;;;;gaz;;;;;;;
1787;gazouiller;;;;;;;;;;;;;;;;;;;gazuje;;;;;;;;;gazuj;gazujâ;;;;;;;;;;;;gazuj;;;;;;;
1788;geindre;;;;;;ZEJi;;;;;;;;;;;;ZEJE;;;;;;;;;;;ZEJâ;;;;;;;;;;Zê;ZEJ;Zê;;;;;;;
1789;geler;;;;;;;;;;;;ZEl6ra;;Z6lE;;Z6lE;Z6lE;Z6lE;Z6le;;;;;;;Z6lô;;ZEl;;;;;;;ZEl6rE;;ZEl;Z6le;ZEl;ZEl;ZEl;;;;;;;
1790;gerber;;;;;;;;;;;;;;;;;;;ZErbe;;;;;;;;;ZErb;ZErbâ;;;;;;;;ZErb;;;;ZErb;;;;;;;
1791;gercer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ZErs;;;;;;;;
1792;germer;;;;;;;;;;;;;;;;;;;ZErme;;;;;;;;;;;;;;;;;;;;;ZErm;ZErm;;;;;;;
1793;gesticuler;;;;;;;;;;;;;;;;;ZEstikylE;ZEstikylE;ZEstikyle;;;;;;;;;;ZEstikylâ;;;;;;;;ZEstikyl;;;ZEstikyl;ZEstikyl;;;;;;;
1794;gicler;;;;;;Zikla;;;;;;;;;;;;ZiklE;Zikle;;;;;;;;;Zikl;;;;;;;;;Zikl;;Zikl;;Zikl;;;;;;;
1795;gifler;;;;;;Zifla;;;;;;;;ZiflE;;;;ZiflE;Zifle;;;;;;Zifla;;;Zifl;;;;;;;Zifl6rE;;Zifl;Zifle;Zifl;;Zifl;;;;;;;
1796;gigoter;;;;;;;;;;;;;;;;;;ZigOtE;ZigOte;;;;;;;;;ZigOt;;;;;;;;;ZigOt;;;;ZigOt;;;;;;;
1797;givrer;;;;;;;;;;;;;;;;;;ZivrE;Zivre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1798;glacer;;;;;;glasa;;;;;;;;;;;;glasE;glase;;;;;;;;;glas;glasâ;;;;;;;;glas;;;glas;glas;;;;;;;
1799;glander;;;;;;;;;;;;;;glâdE;;;;;glâde;;;;;;;;;;;;;;;;;;glâd;;;glâd;glâd;;;;;;;
1800;glaner;;;;;;;;;;;;;;;;;;glanE;glane;;;;;;;;;;glanâ;;;;;;;;glan;;;;glan;;;;;;;
1801;glapir;;;;;;glapi;;;;;;;;;;;glapisE;glapisE;glapir;;;;;;;;;;;;;;;;;;;;;;glapi;;;;;;;
1802;glavioter;;;;;;;;;;;;;;;;;;;glavjOte;;;;;;;;;;glavjOtâ;;;;;;;;;;;;glavjOt;;;;;;;
1803;glisser;;glisE;;;glisEr;glisa;;glis6rE;;;glis6rô;glis6ra;glisjô;glisE;;glisE;glisE;glisE;glise;;;;;;glisa;glisô;glise;glis;glisâ;;glis6rE;;glis6rE;;glis6rE;glisô;glis;glise;glis;glis;glis;;;;;;;
1804;glorifier;;;;;;;;;;;;;;;;;glOrifjE;;glOrifje;;;;;;;;;glOrifi;glOrifjâ;;;;;;;;glOrifi;;;glOrifi;glOrifi;;;;;;;
1805;gloser;;;;;;;;;;;;;;;;;glOzE;;glOze;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1806;glouglouter;;;;;;;;;;;;;;;;;;;gluglute;;;;;;;;;;;;;;;;;;;;;;gluglut;;;;;;;
1807;glousser;;;;;;glusa;;;;;;;;;;;glusE;;gluse;;;;;;;;;;glusâ;;;;;;;;glus;;;;glus;;;;;;;
1808;gober;;;;;;;;;;;;;gObjô;;;;;;gObe;;;;;;;;;gOb;;;;;;;;;gOb;gObe;;;gOb;;;;;;;
1809;goberger;;;;;;;;;;;;;;;;;;;gObErZe;;;;;;;;;;;;;;;;;;gObErZ;;;;gObErZ;;;;;;;
1810;goder;;;;;;;;;;;;;;;;;;;gOde;;;;;;;;;gOd;;;;;;;;;;;gOd;;gOd;;;;;;;
1811;goinfrer;;;;;;;;;;;;;;;;;;;gwêfre;;;;;;;;;gwêfr;;;;;;;;;gwêfr;;;gwêfr;gwêfr;;;;;;;
1812;gommer;;;;;;;;;;;;;;;;;;gOmE;gOme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1813;gondoler;;;;;gôdOlEr;;;;;;;;;;;;gôdOlE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1814;gonfler;;;;;;gôfla;;;;;;;;;;;gôflE;gôflE;gôfle;;;;;;;;gôfle;gôfl;gôflâ;;;;;;;;gôfl;gôfle;gôfl;gôfl;gôfl;;;;;;;
1815;gourer;;;;;;;;;;;;;;gurE;;;;gurE;gure;;;;;;;;;gur;;;;;;;gur6rE;;gur;;gur;;gur;;;;;;;
1816;gourmander;;;;;;;;;;;;;;;;;;;gurmâde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1817;goutter;;;;;;;;;;;;;;;;;;gutE;gute;;;;;;;;;;;;;;;;;;gut;;;;gut;;;;;gut;;
1818;gouverner;;;;;;;guvErn6rô;;;;;guvErn6ra;;;;;guvErnE;guvErnE;guvErne;;;;;;;;;guvErn;;;;;;;;;guvErn;guvErne;;guvErn;guvErn;;;;;;;
1819;goûter;;gutE;;;;guta;;gut6rE;gut6re;;;;;;;gutE;gutE;gutE;gute;;;;;;;gutô;gute;gut;gutâ;;;;;;gut6rE;gutô;gut;gute;gut;gut;gut;;;;;;;gut
1820;gracier;;grasjE;;grasja;;;;;;grasira;;;;;;;;;grasje;;;;;;;;grasje;grasi;;;;;;;;;grasi;;;;grasi;;;;;;;
1821;grailler;;;;;;;;;;;;;;;;;;;graje;;;;;;;;;;grajâ;;;;;;;;;;;;;;;;;;;
1822;graisser;;;;;;grEsa;;;;;;;;;;;;grEsE;grEse;;;;;;;;grEse;grEs;;;;;;;;;;;;grEs;grEs;;;;;;;
1823;grandir;;;;;grâdir;grâdi;grâdirô;;;;grâdirô;grâdira;;;;;grâdisE;grâdisE;grâdir;;;;;;grâdi;;;grâdi;grâdisâ;;;;;grâdirE;;;grâdi;;grâdi;grâdis;grâdi;;;grâdis;;;;grâdis
1824;grappiller;;;;;;;;;;;;;;;;;;;grapije;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1825;grasseyer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;grasEjâ;;;;;;;;;;;;;;;;;;;
1826;gratifier;;;;;;gratifja;;;;;;;;;;;;gratifjE;;;;;;;;;;;gratifjâ;;;;;;;;;;gratifi;;gratifi;;;;;;;
1827;gratter;;gratE;;;;grata;;;;;;;;gratE;;gratE;gratE;gratE;grate;;;;;;;;grate;grat;gratâ;;;;;;grat6rE;;grat;grate;grat;grat;grat;;;;;;;
1828;graver;;;;;;;;;;;;;;gravE;;;;gravE;grave;;;;;;;gravô;grave;grav;gravâ;;;;;;;;grav;;;grav;grav;;;;;;;grav
1829;gravir;;;;;gravir;gravi;gravirô;;;;;;gravisjô;;;gravisE;;gravisE;gravir;;;;;;;gravisô;;gravi;gravisâ;;;;;;;gravisô;gravi;;gravi;gravis;gravi;;;;;;;
1830;graviter;;;;;;;;;;;;;;;;;gravitE;gravitE;;;;;;;;;;;;;;;;;;;gravit;;;;;;;;;;;
1831;greffer;;;;;;;;;;;;;;;;;;grEfE;grEfe;;;;;;;;;grEf;;;grEf6rE;;;;;;;;;;;;;;;;;grEf
1832;grelotter;;;;;;;;;;;;;;gr6lOtE;;;;gr6lOtE;;;;;;;;;;;gr6lOtâ;;;;;;;;gr6lOt;;;;gr6lOt;;;;;;;
1833;grener;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;grEn;;;;;;;
1834;grever;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;grEv;;;;;;;
1835;gribouiller;;;;;;;;;;;;;;;;;;gribujE;gribuje;;;;;;;;;gribuj;;;;;;;;;;;;;;;;;;;;
1836;griffer;;grifE;;;;;;;;;;grif6ra;;;;;;grifE;grife;;;;;;;;;grif;grifâ;;;;;;;;grif;;grif;grif;grif;;;;;;;
1837;griffonner;;;;;;grifOna;;;;;;;;;;;;;grifOne;;;;;;;;;;grifOnâ;;;;;;;;;;;;grifOn;;;;;;;
1838;grignoter;;;;;;griJOta;;;;;;;;griJOtE;;;griJOtE;griJOtE;griJOte;;;;;;;;;griJOt;;;;;;griJOt6rE;;;griJOt;;;griJOt;griJOt;;;;;;;griJOt
1839;griller;;;;;;grija;;;;grij6ra;;;;;;;;grijE;grije;;;;;;;;;grij;grijâ;grij6rjô;;;;;;;grij;;;;grij;;;;;;;
1840;grimper;grêpam;grêpE;;;grêpEr;grêpa;;;;;grêp6rô;;grêpjô;grêpE;grêpje;grêpE;grêpE;grêpE;grêpe;;;;;;;grêpô;grêpe;grêp;grêpâ;;;;;grêp6rE;;grêpô;grêp;grêpe;;grêp;grêp;;;;;;;
1841;grincer;;;;;grêsEr;grêsa;;;;;;;;;;;grêsE;grêsE;grêse;;;;;;;;;grês;grêsâ;;;;;;grês6rE;;grês;;grês;grês;grês;;;;;;;
1842;gripper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;gripâ;;;;;;;;;;;;grip;;;;;;;
1843;grisailler;;;;;grizajEr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1844;griser;;grizE;;;;;;;;;;;;grizE;;;;grizE;grize;;;;;;;;;griz;grizâ;;;;;;;;;;;;griz;;;;;;;griz
1845;grisonner;;;;;;;;;;;;;;;;;grizOnE;;grizOne;;;;;;;;;;;;;;;;;;grizOn;;;;;;;;;;;
1846;grogner;;grOJE;;;grOJEr;grOJa;;;;;;;grOJô;;;;grOJE;grOJE;grOJe;;;;;;;;;grOJ;grOJâ;;;;;;;;grOJ;;;grOJ;grOJ;;;;;;;
1847;grognonner;;;;;;grOJOna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1848;grommeler;;;;;;grOm6la;;;;;;;;;;;;grOm6lE;;;;;;;;;;grOmEl;grOm6lâ;;;;;;;;grOmEl;;;;grOmEl;;;;;;;
1849;gronder;;grôdE;;;;grôda;;;;;;;;grôdE;;;grôdE;grôdE;grôde;;;;;;;;;grôd;grôdâ;;;;;;grôd6rE;;grôd;;;grôd;grôd;;;;;;;
1850;grossir;;;;;;grOsi;;;;;;grOsira;;;;;grOsisE;grOsisE;grOsir;;;;;;;;;grOsi;grOsisâ;;;;;;;;grOsi;;grOsi;grOsis;grOsi;;;;;;;grOsis
1851;grouiller;;;;;;;;;;;;;;;;;grujE;grujE;gruje;;;;;;;;gruje;gruj;grujâ;;;;;;;;gruj;gruje;gruj;gruj;gruj;;;;;;;
1852;grouper;;;;;;grupa;;;;;;;;;;;grupE;;grupe;;;;;;;;;grup;grupâ;;;;;;;grupô;grup;;;;grup;;;;;;;
1853;gréer;;;;;;;;;;;;;;;;;;;grEe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
