;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
2233;manifester;;;;;;manifEsta;;;;;;;;manifEstE;;manifEstE;manifEstE;manifEstE;manifEste;;;;;;;;manifEst;manifEstâ;;;;;;;;manifEst;manifEste;;;manifEst;;manifEste;manifEste;manifEste;;;;;;
2234;manigancer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;manigâs;;;;;;;;;;
2235;manipuler;;;;;;;;;;;;;;;;;;;manipyle;;;;;;;;manipyl;;;;;;;;;manipyl;;manipyl;;manipyl;manipyle;;manipyle;manipyle;;;;;;
2236;maniérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;manjEre;;;;;;
2237;manoeuvrer;;;;;;;;;;;;;;;;;man6vrE;man6vrE;man6vre;;;;;;;;man9vr;;;;;;;;;man9vr;;;;;;;;;;;;;;
2238;manquer;mâkam;mâkE;;;mâkEr;mâka;mâk6rô;mâk6rE;mâk6re;mâk6ra;mâk6rô;mâk6ra;;mâkE;mâkje;mâkE;mâkE;mâkE;mâke;;;;;mâka;mâkô;mâke;mâk;mâkâ;;mâk6rE;;;mâk6rE;mâk6rE;mâkô;mâk;mâke;mâk;mâk;mâk;mâke;mâke;;mâke;;;;mâk;mâk;mâk
2239;manucurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;manykyre;;;;;;;;
2240;maquer;;;;;;;;;;;;;;;;;;;make;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2241;maquiller;;;;;;;;;;;;;;;;makijE;;;makije;;;;;;;makije;makij;;;;;;;;;makij;;makij;;makij;;makije;makije;makije;;;;;;
2242;marauder;;;;;;;;;;;;;;;;;marOdE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2243;marchander;;;;;;;;;;;;;;marSâdE;;;marSâdE;;marSâde;;;;;;;;;;;;;;;;;marSâd;;;marSâd;marSâd;;;;;;;;;;
2244;marcher;marSam;;;;marSEr;marSa;marS6rô;marS6rE;;;marS6rô;marS6ra;marSjô;marSE;;marSE;marSE;marSE;marSe;;;;;marSa;marSô;marSe;marS;marSâ;;;;;marS6rE;marS6rE;marSô;marS;marSe;marS;marS;marS;;;;;;;;marS;;marS
2245;marginaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;marZinalizâ;;;;;;;;;;;;;;;;;;;;;;
2246;margotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;margOt;;;;;;;;;;
2247;marier;;;;;marjEr;marja;;marirE;marire;marira;;marira;;;;marjE;;marjE;marje;;;;;;marjô;marje;mari;marjâ;;marirE;;;;marirE;marjô;mari;marje;mari;mari;mari;marje;marje;marje;marje;;;;mari;;mari
2248;mariner;;;;;;marina;;;;;;;;;;;;;marine;;;;;;;;;marinâ;;;;;;;;;;;;marin;;;;;;;;;;marin
2249;marmonner;;;;;;marmOna;;;;;;;;;;;marmOnE;marmOnE;marmOne;;;;;;;;marmOn;marmOnâ;;;;;;;;marmOn;;;;marmOn;;;;;;;;;;
2250;marmotter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;marmOte;;;;;;
2251;marquer;;;;;;marka;;mark6rE;;;;mark6ra;;markE;;;markE;markE;marke;;;;;;;marke;mark;markâ;;;;;;;;mark;marke;;mark;mark;marke;marke;marke;marke;;;;;;
2252;marrer;;;;;;mara;;;;;;;;;;;;marE;mare;;;;;;;mare;mar;marâ;;;;;;mar6rE;;mar;;;mar;mar;;mare;mare;mare;;;;;;mar
2253;marteler;;;;;;;;;;;;;;;;;;;mart6le;;;;;;;;martEl;mart6lâ;;;;;;;;;;;martEl;martEl;;;;mart6le;;;;;;
2254;martiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;martine;;;;;;;;;;;;;
2255;martyriser;;;;;;;;;;;;;;;;;;;martirize;;;;;;;;;;;;;;;;;;;;;;;martirize;martirize;;;;;;;
2256;masquer;;;;;;maska;;;;;;;;;;;;maskE;maske;;;;;;;;mask;;;;;;;;;mask;;;mask;mask;;maske;;maske;;;;;;
2257;massacrer;;;;;masakrEr;masakra;masakr6rô;;;;;;;;;;;masakrE;masakre;;;;;;;;masakr;masakrâ;;;;;;;;masakr;;masakr;;masakr;;masakre;masakre;masakre;;;;;;
2258;masser;;;;;;masa;;;;;;;;;;;masE;masE;mase;;;;;;;;mas;masâ;;;;;;;;mas;;;;mas;mase;;mase;mase;;;;;;
2259;mastiquer;;;;;;mastika;;;;;;;;;;;mastikE;mastikE;mastike;;;;;;;;;mastikâ;;;;;;;;;;;;;;;;mastike;;;;;;
2260;masturber;;;;;;;;;;;;;;;;;;;mastyrbe;;;;;;;;mastyrb;;;;;;;;;mastyrb;;;;mastyrb;;;;;;;;;;
2261;matelasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mat6lase;mat6lase;;;;;;;;
2262;mater;;;;;;;;mat6rE;;;;;;matE;;matE;;matE;mate;;;;;;;mate;mat;matâ;;;;;;;;mat;mate;;;mat;;mate;;mate;;;;;;mat
2263;matraquer;;;;;;matraka;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;matrake;matrake;;;;;;
2264;matérialiser;;;;;;;;;;;matErjaliz6rô;;;;;;;;matErjalize;;;;;;;;;;;;;;;;;matErjaliz;;;;;;matErjalize;matErjalize;matErjalize;;;;;;
2265;maudire;;;;;;;;;;;;;;mOdisE;;;;mOdisE;mOdir;;;;;;;;mOdi;mOdisâ;;;;;;;;mOdi;mOdise;mOdi;;mOdi;;;;;;;;;;mOdis
2266;maugréer;;;;;;;;;;;;;;;;;;;mOgrEe;;;;;;;;;mOgrEâ;;;;;;;;;;;;mOgre;;;;;;;;;;
2267;maximiser;;;;;;;;;;;;;;;;;;;maksimize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2268;maçonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;masOne;;;;;;
2269;maîtriser;;;;;;mEtriza;mEtriz6rô;;;;;;;;;;;;mEtrize;;;;;;;mEtrize;mEtriz;mEtrizâ;;;;;;;;mEtriz;mEtrize;;;mEtriz;;mEtrize;mEtrize;mEtrize;;;;;;
2270;menacer;;;;;;m6nasa;;;;;;;;;;;m6nasE;m6nasE;m6nase;;;;;;;m6nase;m6nas;m6nasâ;;;;;;;;m6nas;m6nase;m6nas;m6nas;m6nas;m6nase;m6nase;m6nase;m6nase;;;;m6nas;;
2271;mendier;;;;;;;;;;;;;;;;mâdjE;mâdjE;mâdjE;mâdje;;;;;;;;mâdi;mâdjâ;;;;;;;;;;;mâdi;mâdi;;;;mâdje;;;;;;
2272;mener;;;;;;m6na;;mEn6rE;;;mEn6rô;mEn6ra;;m6nE;;m6nE;m6nE;m6nE;m6ne;;;;;;m6nô;m6ne;mEn;m6nâ;;;;;;mEn6rE;m6nô;mEn;m6ne;mEn;mEn;mEn;;m6ne;m6ne;m6ne;;;;;;mEn
2273;mentionner;;;;;;mâsjOna;;;mâsjOn6re;;;;;;;mâsjOnE;mâsjOnE;mâsjOnE;mâsjOne;;;;;;mâsjOnô;mâsjOne;mâsjOn;mâsjOnâ;;;;;;;;mâsjOn;mâsjOne;;mâsjOn;mâsjOn;;;;mâsjOne;;;;;;
2274;mentir;;mâti;;;;;;;;;;mâtira;;mâtE;mâtje;mâtE;mâtE;mâtE;mâtir;;;;;;;mâte;mâ;;;mâtirE;;mâtirE;;mâtirE;;mâ;mâte;mâ;mât;mâ;;;;;;mât;;mât;;
2275;merder;;;;;;;;;;;;;;;;;;;;;;;;;;;mErd;;;;;;;;;mErd;;mErd;;mErd;;;;;;;;;;
2276;mesurer;;;;;;m6zyra;;;m6zyr6re;;;m6zyr6ra;;m6zyrE;;m6zyrE;m6zyrE;m6zyrE;m6zyre;;;;;m6zyra;m6zyrô;m6zyre;m6zyr;m6zyrâ;;;;;;;;m6zyr;m6zyre;;;m6zyr;m6zyre;m6zyre;m6zyre;m6zyre;;;;m6zyr;;
2277;mettre;;mi;;mi;mir;mi;mEtrô;mEtrE;mEtre;mEtra;mEtrô;mEtra;mEtjô;mEtE;mEtje;mEtE;mEtE;mEtE;mEtr;;;;;mi;mEtô;mEte;mE;mEtâ;mEtriô;mEtrE;;mEtrE;mEtrE;mEtrE;mEtô;mE;mEte;mE;mEt;mE;miz;miz;;;;mEt;;mEt;mEt;mEt
2278;meubler;;;;;;m6bla;;;;;;;;;;;;m6blE;m6ble;;;;;;;;m9bl;;;;;;;;;;;;;m9bl;;m6ble;m6ble;m6ble;;;;;;
2279;meugler;;;;;;m6gla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2280;meuler;;;;;;;;;;;;;;;;;;;m6le;;;;;;;;;;;;;;;;;;;;;m2l;;;;;;;;;;
2281;meurtrir;;;;;;;;;;;;;;;;;;;m9rtrir;;;;;;;;;;;;;;;;;;;m9rtri;m9rtris;;;m9rtri;m9rtri;m9rtri;;;;;;
2282;miauler;;;;;;;;;;;;;;;;;mjOlE;mjOlE;;;;;;;;;mjol;;;;;;;;;;;;;mjol;;;;;;;;;;
2283;mignarder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;miJarde;;;;;;
2284;migrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;migr;;;;;;;;;;;
2285;mijoter;;;;;;;;;;;;;;;;miZOtE;miZOtE;;miZOte;;;;;;;miZOte;miZOt;;;;;;;;;miZOt;;miZOt;;miZOt;;;;;;;;;;
2286;militer;;;;;;;;milit6rE;;;;;;;;;;militE;milite;;;;;;;;milit;;;;;;;;;milit;;;milit;;;;;;;;;;;
2287;millésimer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;milEzime;;;milEzime;;;;;;
2288;mimer;;;;;;mima;;;;;;;;;;;;mimE;mime;;;;;;;;mim;;;;;;;;;mim;;;;mim;;;;;;;;;;
2289;minauder;;;;;;;;;;;;;;;;;;;minOde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2290;miner;;;;;;;;;;;;;;;;;;;;;;;;;;;min;minâ;;;;;;;;min;;;;min;;mine;mine;mine;;;;;;
2291;minimiser;;;;;;;;;;;;;;;;;;;minimize;;;;;;;;;;;;;;;;;;minimize;;;;;;;;;;;;;
2292;minuter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;minyt;;minyt;;minyt;;;;minyte;;;;;;
2293;mirer;;;;;;;;;;;;;;;;;;mirE;mire;;;;;;;;;;;;;;;;;;;;;mir;;;;;;;;;;
2294;miroiter;;;;;;;;;;;;;;;;;mirwatE;;mirwate;;;;;;;;;mirwatâ;;;;;;;;;;;mirwat;;;;;;;;;;;
2295;miser;;;;;;;;;;;;;;;;;;mizE;mize;;;;;;;mize;miz;mizâ;;;;;;;;miz;mize;;;miz;;;;mize;;;;;;
2296;mithridatiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mitridatize;mitridatize;;;;;;
2297;mitiger;;;;;;;;;;;;;;;;;;;mitiZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2298;mitonner;;;;;;;;;;;;;;;;;;;;;;;;;;;mitOn;;;;;;;;;mitOn;;;;mitOn;;;;mitOne;;;;;;
2299;mitrailler;;;;;;;;;;;;;;;;;;mitrajE;;;;;;;;;mitraj;;;;;;;;;mitraj;;;;;;;;;;;;;;
2300;mixer;;;;;;;;;;;;;;;;;;miksE;mikse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2301;mobiliser;;;;;;;;;;;;;;;;;;;mObilize;;;;;;;;mObiliz;mObilizâ;;;;;;;;mObiliz;;;;mObiliz;mObilize;mObilize;mObilize;mObilize;;;;;;
2302;modeler;;;;;;;;;;;;;;mOd6lE;;;;mOd6lE;mOd6le;;;;;;;mOd6le;;mOd6lâ;;;;;;;;;;;;mOdEl;mOd6le;mOd6le;;;;;;;;
2303;moderniser;;;;;;;;;;;;;;;;;;;mOdErnize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2304;modifier;;;;;mOdifjEr;mOdifja;;;;;;;;;;;mOdifjE;mOdifjE;mOdifje;;;;;;;;mOdifi;;;;;;;mOdifirE;;mOdifi;;;;;mOdifje;mOdifje;;mOdifje;;;;;;
2305;moduler;;;;;;;;;;;;;;;;;;;mOdyle;;;;;;;;;;;;;;;;;;;;;;;;;mOdyle;;;;;;
2306;modérer;;;;;;;;;;;;;;;;;;;mOdEre;;;;;;;;;;;;;;;;;;;;;mOdEr;;;;mOdEre;;;;;;
2307;moirer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mware;;;;;;;;
2308;moisir;;;;;;mwazi;;;;;;;;mwazisE;;;;;mwazir;;;;;;;;;mwazisâ;;;;;;;;;;;mwazis;;;;;;;;;;;
2309;moissonner;;;;;;;;;;;;;;;;;;mwasOnE;mwasOne;;;;;;;;;;;;;;;;;;;;;;mwasOne;;;;;;;;;
2310;molester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOlEst;;;mOlEste;mOlEste;;;;;;
2311;mollir;;;;;;;;;;;;;;;;;;;mOlir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2312;momifier;;;;;;;;;;;;;;;;;;mOmifjE;;;;;;;;;;;;;;;;;;;;;;mOmifi;;mOmifje;;;;;;;;
2313;monnayer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOnE;;;;;;;;;;
2314;monologuer;;;;;;;;;;;;;;;;;;mOnOlOgE;mOnOlOge;;;;;;;;;mOnOlOgâ;;;;;;;;;;;;;;;;;;;;;;
2315;monopoliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOnOpOliz;;;;;;;;;;;;;;
2316;monter;môtam;môtE;;;môtEr;môta;;môt6rE;;môt6ra;;môt6ra;;môtE;môtje;môtE;môtE;môtE;môte;;;;;môta;môtô;môte;môt;môtâ;;môt6rE;môt6rje;môt6rE;;môt6rE;môtô;môt;môte;môt;môt;môt;môte;môte;môte;môte;;;;môt;;môt
2317;montrer;;môtrE;;;môtrEr;môtra;môtr6rô;môtr6rE;môtr6re;;môtr6rô;môtr6ra;;môtrE;môtrje;môtrE;môtrE;môtrE;môtre;;;;;;môtrô;môtre;môtr;môtrâ;;môtr6rE;;;;môtr6rE;môtrô;môtr;môtre;môtr;môtr;môtr;môtre;môtre;môtre;môtre;;môtr;;môtr;;môtr
2318;moquer;;;;;;mOka;;;;;mOk6rô;;;mOkE;mOkje;mOkE;mOkE;mOkE;mOke;;;;;mOka;;mOke;mOk;mOkâ;;;;;;mOk6rE;;mOk;mOke;mOk;mOk;mOk;;mOke;mOke;mOke;;mOk;;mOk;;
2319;moraliser;;;;;;;;;;;;;;;;;;;mOralize;;;;;;;;;;;;;;;;;;;;;;;mOralize;;;;;;;;
2320;morceler;;;;;;;;;;;;;;;;;;;mOrs6le;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2321;mordiller;;;;;;;;;;;;;;;;;;mOrdijE;;;;;;;;;mOrdij;;;;;;;;;;;;;;;;;;;;;;;
2322;mordorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOrdOre;;;;;;;
2323;mordre;;;;;mOrdir;mOrdi;;;;;;mOrdra;;mOrdE;;;mOrdE;mOrdE;mOrdr;;;;;;;mOrde;mOr;mOrdâ;;;;;;;;mOr;mOrde;mOr;mOrd;mOr;;mOrdy;mOrdy;mOrdy;;;;;;
2324;morfler;;;;;;;;;;;;;;;;;;;mOrfle;;;;;;;;;;;;;;;;;;;;;;;;;mOrfle;;;;;;
2325;morfondre;;;;;;;;;;;;;;;;;;;;;;;;;;;mOrfô;;;;;;;;;mOrfô;;;;;;;;;;;;;;
2326;morigéner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOriZEn;;;;;;;;;;
2327;mortifier;;;;;;;;;;;;;;;;;;;mOrtifje;;;;;;;;;;;;;;;;;;;;;;;mOrtifje;;mOrtifje;;;;;;
2328;motiver;;;;;;;;;;;;;;;;;;mOtivE;;;;;;;;;mOtiv;;;;;;;;;;;;;mOtiv;;mOtive;;mOtive;;;;;;
2329;motoriser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mOtOrize;;;;;;;
2330;moucharder;;;;;;;;;;;;;;;;;;muSardE;muSarde;;;;;;;;;;;;;;;;;;;;;muSard;;;;;;;;;;
2331;moucher;;;;;;;;;;;;;;;;;muSE;;muSe;;;;;;;;muS;;;;;;;;;muS;;;;;;;;;;;;;;
2332;moucheter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;muS6te;;;;;;;
2333;moudre;;;;;;;;;;;;;;;;;;;mudr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2334;moufter;;;;;;;;;;;;;;;;;;;mufte;;;;;;;;muft;;;;;;;;;muft;;;;muft;;;;;;;;;;
2335;mouiller;;;;;;;;;;;muj6rô;;;mujE;;;mujE;mujE;muje;;;;;;;;muj;;;muj6rE;;;;;;muj;muje;;muj;muj;muje;muje;muje;muje;;;;muj;;
2336;mouler;;;;;;;;;;;;;;;;;;;;;;;;;;;mul;;;;;;;;;mul;;;;mul;mule;;mule;mule;;;;;;
2337;mouliner;;;;;;;;;;;;;;;;;;;muline;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2338;mourir;;mury;;;muryr;mury;;murrE;murre;murra;murrô;murra;murjô;murE;;murE;murE;murE;murir;;;;;mury;;mure;m9r;murâ;murrjô;murrE;;murrE;murrE;murrE;murô;m9r;mure;m9r;m9r;m9r;mOrt;mOrt;mOr;mOr;;m9r;;m9r;;m9r
2339;mousser;;;;;;;;;;;;;;;;;;;muse;;;;;;;;mus;;;;;;;;;mus;;;;mus;;;;;;;;;;
2340;moutonner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mutOn;;;;;;;;;;;
2341;mouvoir;;my;;;;;;;;;;;;;;;muvE;muvE;muvwar;;;;;;;;;muvâ;;;;;;;;;;;;m2;;;my;my;;;;;;
2342;muer;;;;;;;;;;;;;;;;;myE;myE;;;;;;;;;;;;;;;;;;my;;;my;my;;;;mye;;;;my;;
2343;mugir;;;;;;myZi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myZi;;myZi;;;;;;;;;;
2344;multiplier;;myltipliE;;;myltipliEr;;;;;;;;;myltipliE;;;myltipliE;myltipliE;myltiplie;;;;;;;myltiplie;myltipli;myltipliâ;;;;;;;;myltipli;;myltipli;;myltipli;;myltiplie;;myltiplie;;;;;;
2345;munir;;;;;;;;;;;;;;;;;;mynisE;;;;;;;;;;;;;;;;;;myni;;;;;myni;myni;myni;myni;;;;;;
2346;murer;;;;;;myra;;;;;;;;;;;myrE;;myre;;;;;;;;myr;;;;;;;myr6rE;;;;;;;myre;myre;;myre;;;;;;
2347;murmurer;;myrmyrE;;;;myrmyra;;;;;;;;;;myrmyrE;myrmyrE;myrmyrE;myrmyre;;;;;;;;myrmyr;myrmyrâ;;;;;;;;myrmyr;;;myrmyr;myrmyr;myrmyre;;myrmyre;myrmyre;;;;myrmyr;;
2348;musarder;;;;;;;;;;;;;;;;;;;myzarde;;;;;;;;;;;;;;;;;;;;;myzard;;;;;;;;;;
2349;muscler;;;;;;;;;;;;;;;;;;;;;;;;;;;myskl;;;;;;;;;;;;;;;;myskle;;;;;;;
2350;musiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myzik;;;;;;;;;;
2351;musser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;myse;;;;;;;
2352;muter;;;;;;;;;;;;;;;;;;;myte;;;;;;;;;;;;;;;;;;;;;myt;;;myte;myte;;;;;;
2353;mutiler;;;;;;;;;;;;;;;;;;;mytile;;;;;;;;;;;;;;;;;;;;mytil;;;mytile;;mytile;;;;;;mytil
2354;mutiner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mytin;;;;mytine;;;;;;
2355;mâcher;;;;;;;;;;;;;;;;;;maSE;maSe;;;;;;;;maS;maSâ;;;;;;;;;;;;maS;;;;maSe;;;;;;
2356;mâchonner;;;;;;;;;;;;;;;;;maSOnE;;;;;;;;;;;;;;;;;;;;;;maSOn;maSOn;;;maSOne;;;;;;;
2357;mâchouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;maSujâ;;;;;;;;;;;;;;;;;;;;;;
2358;mécaniser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEkanize;;;;;;
2359;mécher;;;;;;;;;;;;;;;;;;;;;;;;;;;;mESâ;;;;;;;;;;;;;;;;;;;;;;
2360;méconnaître;;;;;;;;;;;;;;;;;;;mEkOnEtr;;;;;;;;;;;;;;;;;mEkOnE;;;;;;mEkOny;;;;mEkOnEs;;;;
2361;mécontenter;;;;;;;;;;;;;;;;;;;mEkôtâte;;;;;;;;;;;;;;;;;;;;;;;;mEkôtâte;;;;;;;
2362;médailler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEdaje;;;;;;
2363;médire;;;;;;;;;;;;;;;;;;;mEdir;;;;;;mEdizô;;;;;;;;;;;;;;;;;;;;;;;;;
2364;méditer;;;;;;;;;;;;;;mEditE;;mEditE;;mEditE;mEdite;;;;;;;;mEdit;mEditâ;;;;;;;;mEdit;mEdite;;;mEdit;;;mEdite;mEdite;;;;;;
2365;méduser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEdyze;mEdyze;;;;;;
2366;méfier;;;;;mEfjEr;;;mEfirE;;;;;;mEfjE;;;mEfjE;mEfjE;mEfje;;;;;;mEfjô;mEfje;mEfi;;;mEfirE;;;;mEfirE;mEfjô;mEfi;mEfje;mEfi;mEfi;mEfi;;mEfje;;mEfje;;mEfi;;;;mEfi
2367;mélanger;;;;;;mElâZa;;;;;;;;;;;mElâZE;mElâZE;mElâZe;;;;;;;;mElâZ;mElâZâ;;;;;;;;mElâZ;mElâZe;;;mElâZ;mElâZe;;mElâZe;;;;;mElâZ;;
2368;mémoriser;;;;;;;;;;;;;;;;;;;;;;;;;;;mEmOriz;;;;;;;;;;;;;;;;mEmOrize;;;;;;;
2369;ménager;;;;;;mEnaZa;;;;;;;;mEnaZE;;;mEnaZE;mEnaZE;mEnaZe;;;;;;;mEnaZe;mEnaZ;mEnaZâ;;;;;;;;mEnaZ;mEnaZe;;;mEnaZ;;mEnaZe;;mEnaZe;;;;;;
2370;méprendre;;mEpri;;;;mEpri;;;;;;;;;;;;;mEprâdr;;;;;;;mEpr6ne;;;;;;;;;;mEprâ;mEpr6ne;mEprâ;mEprEn;;;;;;;;;;;
2371;mépriser;;;;;;;;mEpriz6rE;;;;;;;;mEprizE;mEprizE;mEprizE;mEprize;;;;;;;mEprize;mEpriz;mEprizâ;;;;;;;mEprizô;mEpriz;mEprize;mEpriz;mEpriz;mEpriz;;;mEprize;mEprize;;mEpriz;;;;
2372;mériter;;;;;;;;;;;;;mEritjô;mEritE;mEritje;mEritE;mEritE;mEritE;mErite;;;;;;;mErite;mErit;;;mErit6rE;mErit6rje;mErit6rE;mErit6rE;mErit6rE;mEritô;mErit;mErite;mErit;mErit;mErit;;mErite;;mErite;;mErit;;mErit;;mErit
2373;métamorphoser;;;;;;;;;;;;;;;;;mEtamOrfOzE;;mEtamOrfOze;;;;;;;;;mEtamOrfOzâ;;;;;;;;;;;;mEtamOrfoz;;;;mEtamOrfOze;;;;;;
2374;métrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEtr;;;;;;;;;;
2375;mêler;;;;;mElEr;mEla;;mEl6rE;;;;;mEljô;mElE;;;mElE;mElE;mEle;;;;;;;mEle;mEl;mElâ;;;;;;;;mEl;mEle;mEl;mEl;mEl;mEle;mEle;mEle;mEle;;mEl;;;;mEl
2376;nager;;naZE;;;;naZa;;;;;;;naZjô;naZE;;naZE;;naZE;naZe;;;;;;naZô;;naZ;naZâ;;;;;;;naZô;naZ;naZe;;naZ;naZ;;;;naZe;;;;;;
2377;nantir;;;;;;;;;;;;;;;;;;;nâtir;;;;;;;;;;;;;;;;;;;;;;;nâti;;nâti;;;;;;
2378;napper;;;;;;;;;;;;;;;;;;napE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2379;narguer;;;;;;;;;;;;;;;;;;nargE;narge;;;;;;;;narg;;;;;;;;;narg;;;;narg;;;;;;;;;;
2380;narrer;;;;;;nara;;;;;;;;;;;;narE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2381;nationaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nasjOnalize;;;;;;;;;
2382;natter;;;;;;;;;;;;;;;;;;;nate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2383;naviguer;;;;;;;;;;;;;;;;;navigE;;navige;;;;;;navigô;;navig;;;;;;;;navigô;navig;;;;navig;;;;;;;;;;
2384;navrer;;;;;;;;;;;;;;;;;;navrE;;;;;;;;;navr;navrâ;;;;;;;;;;;;;;navre;;navre;;;;;;
2385;naître;;;;;;naki;;;;;;;nEsjô;;;;nEsE;nEsE;nEtr;;;;;;;;;nEsâ;;;;;;nEtrE;nEsô;nE;;nE;nEs;nE;ne;ne;ne;ne;;;;;;nEs
2386;neiger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nEZ;;;;;;;;;;
2387;nervurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nErvyre;nErvyre;;nErvyre;;;;;;
2388;nettoyer;;;;;;nEtwaja;;nEtwarE;nEtware;;;nEtwara;;nEtwajE;;nEtwajE;nEtwajE;nEtwajE;nEtwaje;;;;;;nEtwajô;nEtwaje;nEtwa;;;;;;;;;nEtwa;;nEtwa;nEtwa;nEtwa;nEtwaje;nEtwaje;;nEtwaje;;;;;;nEtwa
2389;neutraliser;;;;;;;;;;;;;;;;;;;n6tralize;;;;;;;;;;;;;;;;;n6traliz;;;n6traliz;n6traliz;;n6tralize;;n6tralize;;;;;;
2390;nicher;;;;;;;;;;;;;;;;;;;niSe;;;;;;;;;niSâ;;;;;;;;;;;;niS;;niSe;;;;;;;;
2391;nier;;;;;;nja;;nirE;;;;;;;;njE;;njE;nje;;;;;;;nje;ni;njâ;;;;;;;;ni;nje;ni;ni;ni;;;;nje;;;;;;
2392;nimber;;;;;;;;;;;;;;;;;;nêbE;;;;;;;;;;;;;;;;;;;;;;;nêbe;;;nêbe;;;;;;
2393;nipper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nipe;;;;;;;;;
2394;niveler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;niv6le;niv6le;;;;;;
