;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFP;ppFS;ppMP;ppMS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
2166;repriser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6prize;;;;;;
2167;reprocher;;;;;;r6prOSa;;;;;;r6prOS6ra;;;;;;r6prOSE;r6prOSe;;;;;;r6prOS;;;r6prOS6rE;;;;;;r6prOS;r6prOSe;;;r6prOS;;;;r6prOSe;;;;r6prOS;;r6prOS
2168;reproduire;;;;;;;;;;;;r6prOdHira;;;;;;r6prOdHizE;r6prOdHir;;;;;;;;;;;;;;;;;;;r6prOdHi;r6prOdHit;;;;;;;;;
2169;représenter;;r6prEzâtE;;;;;;;;;;;;;;;r6prEzâtE;r6prEzâtE;r6prEzâte;;;;;r6prEzâte;r6prEzât;r6prEzâtâ;;;;;;;;r6prEzât;;r6prEzât;r6prEzât;r6prEzât;;;r6prEzâte;r6prEzâte;;;;;r6prEzât;r6prEzât
2170;repérer;;;;;;r6pEra;;;;;;;;;;;;r6pErE;r6pEre;;;;;;r6pEr;;;;;;;;;;;;;r6pEr;;;r6pEre;r6pEre;;;;;;r6pEr
2171;repêcher;;;;;;;;;;;;;;;;;;;r6pESe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2172;requinquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6kêk;;;;;;;;;;
2173;requérir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6kjEr;r6kjEr;;;;;;;;;;
2174;respecter;;;;;;;;;;;;;rEspEktjô;;;rEspEktE;;rEspEktE;rEspEkte;;;;rEspEktô;;rEspEkt;rEspEktâ;;;;;rEspEkt6rE;;;;rEspEkte;rEspEkt;;rEspEkt;;;;;;rEspEkt;;;;rEspEkt
2175;respirer;;;;;;rEspira;;;;;;;;rEspirE;;;;rEspirE;rEspire;;;;;rEspire;rEspir;;;;;;;;;rEspir;rEspire;;;rEspir;;;;rEspire;;;;;;rEspir
2176;ressaisir;;;;;;;;;;;;;;;;;;;r6sEzir;;;;;;r6sEzi;;;;;;;;;;;;;;;;r6sEzi;;;;;;;
2177;ressasser;;;;;;;;;;;;;;;;;;;r6sase;;;;;;;;;;;;;;;;;;;r6sas;;;;;;;;;;
2178;ressembler;;;;;;;;;;;;;;;;r6sâblE;r6sâblE;r6sâblE;r6sâble;;;;;r6sâble;r6sâbl;;;;;;;;r6sâblô;r6sâbl;;r6sâbl;r6sâbl;r6sâbl;;;;;;r6sâbl;;r6sâbl;;r6sâbl
2179;ressentir;;r6sâti;;;;r6sâti;;;;;;;;r6sâtE;;;;r6sâtE;r6sâtir;;;r6sâti;;r6sâte;r6sâ;;;;;;;;;r6sâ;;r6sâ;r6sât;;;;;r6sâti;;;;;;r6sât
2180;resserrer;;;;;;;;;;;;;;;;;;;;;;;;;;r6sErâ;;;;;;;;;;;;;;;;r6sEre;;;;;;
2181;ressortir;;r6sOrti;;;;r6sOrti;;;;;;;;;;;;;r6sOrtir;;;;;;;;;;;;;;;r6sOr;;r6sOr;;r6sOr;;;;r6sOrti;;;;;;
2182;ressouder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6sude;;;;;;;
2183;ressusciter;;;;;;;;;;;;;;;;;rEsysitE;;rEsysite;;;;;;rEsysit;;;;;;;rEsysit6rE;;rEsysit;;;;;;;;;;;;;;
2184;restaurer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEstOr6rE;;;;;;rEstOr;;;;;;;;;;
2185;rester;;rEstE;;;rEstEr;rEsta;rEst6rô;rEst6rE;rEst6re;rEst6ra;rEst6rô;rEst6ra;rEstjô;rEstE;;rEstE;rEstE;rEstE;rEste;;;;rEstô;rEste;rEst;rEstâ;;rEst6rE;;;rEst6rE;rEst6rE;rEstô;rEst;rEste;rEst;rEst;rEst;rEste;rEste;rEste;rEste;;;;rEst;;rEst
2186;restituer;;;;;;;;;;;;;;;;;;;rEstitye;;;;;;rEstity;;;;;;;;;rEstity;;;;;;;;rEstitye;;;;;;
2187;restreindre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEstrê;;;;;;;
2188;resurgir;;;;;;;;;;;;;;;;;;;r6syrZir;;;;;;;;;;;;;;;;;;;r6syrZi;;;;;;;;;;
2189;retaper;;;;;;;;;;;;;;;;;;r6tapE;r6tape;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2190;retapisser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6tapise;;;;;;;;
2191;retarder;;;;;r6tardEr;;;;;;;;;;;;;r6tardE;r6tarde;;;;;;;;;;;;;;;;;;;r6tard;;;;r6tarde;;;;;;
2192;reteindre;;;;;;;;;;;;;;;;;;;r6têdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2193;retenir;;;;;;r6tê;;;;;;;;r6t6nE;;;;r6t6nE;r6t6nir;;;;;r6t6ne;r6tjê;r6t6nâ;;;;;r6tjêdrE;;;r6tjê;r6t6ne;r6tjê;r6tjEn;r6tjê;;r6t6ny;;r6t6ny;;;;;;
2194;retentir;;;;;;r6tâti;;;;;;;;;;;r6tâtisE;r6tâtisE;;;;;;;;;;;;;;;;;;;;r6tâti;;;;;;;;;;
2195;retirer;;r6tirE;;;;r6tira;;;;;;r6tir6ra;;;;;;;r6tire;;;;;r6tire;r6tir;;;;;;;;;r6tir;r6tire;r6tir;r6tir;r6tir;;r6tire;r6tire;r6tire;;;;;;r6tir
2196;retomber;;;;;r6tôbEr;;;;;;;r6tôb6ra;;;;;r6tôbE;r6tôbE;r6tôbe;;;;;;r6tôb;r6tôbâ;;;;;;;;r6tôb;;r6tôb;r6tôb;r6tôb;;;;;;;;;;
2197;retordre;;;;;;;;;;;;;;;;;;;r6tOrdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2198;retoucher;;r6tuSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2199;retourner;;r6turnE;;;r6turnEr;r6turna;;;r6turn6re;;;;;r6turnE;;r6turnE;r6turnE;r6turnE;r6turne;;;;;r6turne;r6turn;r6turnâ;;;;;;r6turn6rE;r6turnô;r6turn;r6turne;r6turn;;r6turn;r6turne;r6turne;;r6turne;;r6turn;;r6turn;;r6turn
2200;retraduire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6tradHi;;;;;;;;;;
2201;retrancher;;;;;;;;;;;;;;;;;;r6trâSE;;;;;;;;;;;;;;;;;;;;;;;;r6trâSe;;;;;;
2202;retravailler;;;;;;;;;;;;;;;;;;;r6travaje;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2203;retrousser;;;;;;r6trusa;;;;;;;;;;;;r6trusE;;;;;;;;;;;;;;;;;;;;;;;;r6truse;;;;;;
2204;retrouver;;r6truvE;;;r6truvEr;r6truva;r6truv6rô;r6truv6rE;r6truv6re;r6truv6ra;r6truv6rô;r6truv6ra;r6truvjô;r6truvE;;r6truvE;r6truvE;r6truvE;r6truve;;;;r6truvô;r6truve;r6truv;r6truvâ;;;;r6truv6rE;;;r6truvô;r6truv;;r6truv;r6truv;r6truv;r6truve;r6truve;r6truve;r6truve;;r6truv;;r6truv;;r6truv
2205;revaloir;;;;;;;;r6vOdrE;;r6vOdra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2206;revaloriser;;;;;;;;;;;;;;;;;;r6valOrizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2207;revendiquer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vâdik;;;;;;;;;;;;;;
2208;revendre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vâdy;;;;;;;;
2209;revenir;;r6vê;;;;r6vê;r6vjêdrô;r6vjêdrE;;r6vjêdra;;r6vjêdra;;r6v6nE;;r6v6nE;r6v6nE;r6v6nE;r6v6nir;;;;r6v6nô;r6v6ne;r6vjê;r6v6nâ;;r6vjêdrE;r6vjêdrie;;r6vjêdrE;r6vjêdrE;r6v6nô;r6vjê;r6v6ne;r6vjê;r6vjEn;r6vjê;;r6v6ny;r6v6ny;r6v6ny;;r6vjEn;;;r6vjEn;r6vjEn
2210;revigorer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r6vigOre;;;;;;;;
2211;revisiter;;;;;;;;;;;;;;;;;;;r6vizite;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2212;revivre;;;;;;;;;;;;r6vivra;r6vivjô;;;;;;r6vivr;;;;;;r6vi;;;;;;;;;r6vi;;;;;;;;;;;;;;
2213;revoir;;;;;;r6vi;r6vErô;r6vErE;;;;r6vEra;;r6vwajE;;r6vwajE;;r6vwajE;r6vwar;;;;;;r6vwa;r6vwajâ;r6vErjô;;;r6vErE;r6vErE;r6vErE;;r6vwa;;r6vwa;;r6vwa;;r6vy;;r6vy;;r6vwa;;;;r6vwa
2214;revêtir;;;;;;r6vEti;;;;;;;;;;;;r6vEtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2215;rhabiller;;;;;;;;;;;;;;;;;;;rabije;;;;;;;;;;;;;;;rabij;;;;;;;;rabije;;;;;;
2216;ricaner;;;;;;;;;;;;;;;;;;;rikane;;;;;;rikan;rikanâ;;;;;;;;rikan;;;;;;;;;;;;;;
2217;rider;;;;;;;;;;;;;;;;;;;ride;;;;;;;;;;;;;;;;;;;;;ride;;ride;;;;;;
2218;ridiculiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ridikyliz6rE;;;;;;;;;;;;;;;;
2219;rigoler;;;;;rigOlEr;rigOla;;;;;;;;;;;;rigOlE;rigOle;;;;;;rigOl;;;;;;;;;;rigOle;rigOl;;rigOl;;;;;;;;rigOl;;
2220;rimer;;;;;;;;;;;;;;;;;;;;;;;;;rim;;;;;;;;;;;;;rim;;;;;;;;;;
2221;rincer;;;;;;;;;;;;;;;;;;rêsE;rêse;;;;;;;;;;;;;;;rês;;;;rês;;;;rêse;;;;;;
2222;riposter;;;;;;ripOsta;;;;;;;;;;;;;;;;;ripOstô;;;;;;;;;;;;;;;ripOst;;;;;;;;;;
2223;rire;;;;;rir;ri;;;;;;rira;;rjE;;;rjE;rjE;rir;;;;;rje;ri;rjâ;;;;rirE;;;;ri;rje;ri;ri;ri;;;;;;;;;;
2224;risquer;;;;;;riska;;;;risk6ra;;;;riskE;riskje;riskE;;riskE;riske;;;;riskô;riske;risk;;;risk6rE;;;;risk6rE;;risk;riske;risk;;risk;;;;riske;;;;risk;;risk
2225;rivaliser;;;;;;;;;;;;;;;;;rivalizE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2226;rompre;;;;;;;;;;;;;;;;;;;rôpr;;;;;;;rôpâ;;;;;;;;;;;;;;;rôpy;rôpy;;rôp;;;;
2227;ronchonner;;;;;;;;;;;;;;;;;;;rôSOne;;;;;;rôSOn;;;;;;;;;;;;;;;;;;;;;;;
2228;ronfler;;;;;;;;;;;;;;;;;rôflE;;rôfle;;;;;;rôfl;;;;;;;;;;;;;rôfl;;;;;;;;;;
2229;ronger;;;;;;;;;;;;rôZ6ra;;;;;;;rôZe;;;;;;;;;;;;;;;rôZ;;;;rôZ;;rôZe;rôZe;rôZe;;;;;;
2230;ronronner;;;;;;;;;;;;;;;;;;rôrOnE;rôrOne;;;;;;;;;;;;;;;rôrOn;;;;;;;;;;;;;;
2231;rouer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rue;;;;;;
2232;rougeoyer;;;;;;;;;;;;;;;;;ruZwajE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2233;rougir;;;;;;ruZi;;;;;;;;;;;;;ruZir;;;;;;;;;;;;;;;ruZi;;ruZi;;ruZi;;;ruZi;ruZi;;;;;;
2234;rouiller;;;;;;;;;;;;;;;;;;;;;;;;;ruj;;;;;;;;;;;;;;ruje;;ruje;ruje;;;;;;
2235;rouler;;;;;rulEr;;;;;;;;;;;rulE;rulE;rulE;rule;;;;rulô;rule;rul;rulâ;;;;rul6rE;;rul6rE;rulô;rul;;rul;;rul;rule;rule;rule;rule;;;;;;rul
2236;roupiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rupij;;;;;;;;;;
2237;roussir;;;;;;rusi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2238;rouvrir;;;;;;ruvri;;;;;;;;;;ruvrE;;;ruvrir;;;;;;ruvr;;;;;;;;;;;;;;ruvErt;;;ruvEr;;;;;;
2239;ruer;;;;;;rya;;;;;;;;;;;;ryE;rye;;;;;;ry;ryâ;;;;;;;;ry;;;ry;ry;;rye;;;;;;;;
2240;rugir;;;;;;ryZi;;;;;;;;;;;ryZisE;;ryZir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2241;ruiner;;;;;;;;;;;;;;;;;;;rHine;;;;;;rHin;;;;;;;;;;;;rHin;;;;;rHine;;;;;;
2242;ruisseler;;;;;;;;;;;;;;;;;;rHis6lE;;;;;;;;rHis6lâ;;;;;;;;;;;;;;;;;;;;;;
2243;ruminer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rymin;;;;;;;;rymine;;;;;;
2244;rythmer;;;;;;;;;;;;;;;;;;ritmE;ritme;;;;;;ritm;;;;;;;;;;;;;ritm;;;ritme;;;;;;;
2245;râler;;;;;;;;;;;;;;;;;;ralE;rale;;;;;;ral;;;;;;;;;ral;;;ral;ral;;;;;;;;;;
2246;râper;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rap;;;;rape;;;;;;
2247;râteler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rat6le;;;;;;;;;
2248;réactiver;;;;;;;;;;;;;;;;;;rEaktivE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2249;réagir;;;;;rEaZir;rEaZi;;;;;;;;;;;;;rEaZir;;;;;;rEaZi;rEaZisâ;;rEaZirE;;;;;;rEaZi;;rEaZi;rEaZis;rEaZi;;;;;;rEaZis;;;;
2250;réaliser;;;;;;;;;;;;rEaliz6ra;;;;;;rEalizE;rEalize;;;;;rEalize;rEaliz;;;;;;;;;rEaliz;rEalize;;;rEaliz;rEalize;;rEalize;rEalize;;rEaliz;;;;
2251;réapparaître;;;;;;;;;;;;;;;;;;rEaparEsE;;;;;;;;;;;;;;;;;;;rEaparEs;;;;;;;;;;;
2252;réapprendre;;;;;;;;;;;;;;;;;;;rEaprâdr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2253;réarmer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEarme;;;;;;;;;
2254;réchauffer;;;;;;;;;;;;;;;;;;;rESOfe;;;;;rESOfe;rESof;;;;;;;;;rESof;;;;rESof;;;;rESOfe;;;;;;
2255;réciter;;;;;;;;;;;;;;;;;;;rEsite;;;;;;rEsit;;;;;;;;;rEsit;;;;rEsit;;;;rEsite;;;;;;
2256;réclamer;;;;;;rEklama;;rEklam6rE;;;;;;;;;rEklamE;rEklamE;rEklame;;;;;;rEklam;rEklamâ;;;;;;;;rEklam;;;;rEklam;;rEklame;;;;;;rEklam;;
2257;récolter;;;;;;;;;;;;;;;;;;;rEkOlte;;;;;;;;;;;;;;;;;;rEkOlt;;;;;rEkOlte;;;;;;
2258;récompenser;;;;;;;;;;;;;;;;;;rEkôpâsE;;;;;;;;;;;;;;;;rEkôpâs;;;;rEkôpâs;;;;rEkôpâse;;;;;;
2259;réconcilier;;;;;;;;;;;;;;;;;;rEkôsiljE;rEkôsilje;;;;;;;;;;;;;;;;;;rEkôsili;rEkôsili;;;rEkôsilje;;;;;;;
2260;réconforter;;;;;;;;;;;;;;;;;;rEkôfOrtE;rEkôfOrte;;;;;;rEkôfOrt;;;;;;;;;;;;rEkôfOrt;;;;;;;;;;;
2261;récupérer;;;;;rEkypErEr;;;;;;;;;;;;;;rEkypEre;;;;;;rEkypEr;;;;;;;;;;;;;rEkypEr;;;;rEkypEre;;;;;;rEkypEr
2262;récuser;;;;;;;;;;;;;;rEkyzE;;;;rEkyzE;rEkyze;;;;;;rEkyz;;;;;;;;;;;;;;;;;;;;;;;
2263;rédiger;;;;;;;;;;;;;;;;;;;rEdiZe;;;;;;;;;;;;;;;rEdiZ;;rEdiZ;;;;rEdiZe;;rEdiZe;;;;;;
2264;réduire;;;;;;;;;;;;;;;;;;;rEdHir;;;;;;;;;;;;;rEdHirE;;;rEdHize;rEdHi;;rEdHi;;;;rEdHi;;;;;;
2265;réessayer;;;;;;;;;;;;;;;;;;;;;;;;rEEsEje;;;;;;;;;;;;;;;;;;;;;;;;
2266;réfléchir;;;;;;rEflESi;;rEflESirE;;;;rEflESira;;;;;;rEflESisE;rEflESir;;;;;rEflESise;rEflESi;;;;;;;;;rEflESi;rEflESise;rEflESi;;rEflESi;;;rEflESi;rEflESi;;;;;;rEflESis
2267;réfugier;;;;;;;;;;;;rEfyZira;;rEfyZjE;;;;;rEfyZje;;;;rEfyZjô;;;;;;;;;;;;;;;rEfyZi;;rEfyZje;;rEfyZje;;;;;;
2268;réfuter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEfyt;;;;;;;;;;;;;;
2269;référer;;;;;;;;;;;;;;;;;;;rEfEre;;;;;;;;;;;;;;;;;;;rEfEr;;;;;;;;;;
2270;régaler;;;;;rEgalEr;;;;;;;;;;;;;rEgalE;rEgale;;;;;rEgale;rEgal;;;;;;;;;;;;;;;;;;;;;;;
2271;régenter;;;;;;;;;;;;;;;;;rEZâtE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2272;régir;;;;;;;;;;;;;;;;;;;;;;;;;rEZi;;;;;;;;;;;;;;;;rEZi;;;;;;;
2273;régler;;rEglE;;;;rEgla;rEgl6rô;;;;rEgl6rô;;;;;;;rEglE;rEgle;;;;;rEgle;rEgl;;;;;;;;;rEgl;rEgle;;rEgl;rEgl;;;;rEgle;;;;;;rEgl
2274;régner;;;;;;;rEJ6rô;;;;;;;rEJE;;rEJE;;rEJE;rEJe;;;;;;rEJ;;;;;;;;;rEJ;;;rEJ;rEJ;;;;;;;;;;
2275;réhabiliter;;;;;;;;;;;;;;;;;;;rEabilite;;;;;;rEabilit;;;;;;;;;;;;;;;;;;;;;;;
2276;réintégrer;;;;;;;;;;;;;;;;;;;rEêtEgre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2277;réinventer;;;;;;;;;;;;;;;;;;;rEêvâte;;;;;;rEêvât;;;;;;;;;;;;;;;;;;;;;;;
2278;réitérer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEitEre;;;;;;;;;
2279;réjouir;;;;;;rEZui;;;;;;;;rEZuisE;;;rEZuisE;rEZuisE;rEZuir;;;;;;rEZui;;;;;;;;;rEZui;rEZuise;rEZui;;rEZui;;;rEZui;;;;;;;
2280;rénover;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEnOve;;;;;;
2281;répandre;;;;;;rEpâdi;;;;;;rEpâdra;;;;;;rEpâdE;rEpâdr;;;;;;;rEpâdâ;;;;;;;;rEpâ;;rEpâ;;;;;rEpâdy;rEpâdy;;rEpâd;;;;
2282;réparer;;;;;;;;rEpar6rE;;;;rEpar6ra;;rEparE;;;rEparE;rEparE;rEpare;;;;;;;;;;;;;;;rEpar;;;rEpar;rEpar;;rEpare;;rEpare;;;;;;
2283;répartir;;;;;;;;;;;;;;;;;rEpartisE;rEpartisE;;;;;;;;;;;;;;;;rEparti;;rEparti;;;rEparti;;;;;;;;;
2284;répercuter;;;;;;;;;;;;;;;;;;;;;;;;;;rEpErkytâ;;;;;;;;;;;;rEpErkyt;;;;;;;;;;
2285;répliquer;;;;;;rEplika;;;;;;;;;;;rEplikE;;rEplike;;;;;;rEplik;;;;;;;;;;;;;;;;;;;;;;;
2286;répondre;;rEpôdi;;;rEpôdir;rEpôdi;;rEpôdrE;;;rEpôdrô;rEpôdra;;rEpôdE;;;rEpôdE;rEpôdE;rEpôdr;;;rEpôdi;;rEpôde;rEpô;rEpôdâ;;;;rEpôdrE;;;;rEpô;rEpôde;rEpô;rEpôd;rEpô;;;;rEpôdy;;rEpôd;;rEpôd;;rEpôd
2287;réprimer;;;;;;rEprima;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEprim;;;;;;rEprime;;;;;;;;
2288;réprouver;;;;;;;;;;;;;;;;;;;rEpruve;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2289;répudier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEpydje;;rEpydje;;;;;;
2290;répugner;;;;;;;;;;;;;;;;;;rEpyJE;;;;;;;;;;;;;;;;rEpyJ;;;;;;;;;;;;;;
2291;réputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEpyte;;;;;;;;;
2292;répéter;;;;;;rEpEta;;;;;;;;rEpEtE;;;;rEpEtE;rEpEte;;;;;rEpEte;rEpEt;rEpEtâ;;;;;;;rEpEtô;rEpEt;;;rEpEt;rEpEt;rEpEte;;;rEpEte;;;;rEpEt;;rEpEt
2293;réquisitionner;;;;;;;;;;;;;;;;;;;rEkizisjOne;;;;;;;;;;;;;;;rEkizisjOn;;;;;;;;;;;;;;
2294;réserver;;;;;;;;;;;;;;;;rEzErvE;;rEzErvE;rEzErve;;;;;;rEzErv;;;;;;;;;;;;rEzErv;rEzErv;;rEzErve;rEzErve;rEzErve;;;;;;
2295;résider;;;;;;;;;;;;;;;;;rEzidE;;;;;;;;;;;;;;;;;;;;;rEzid;;;;;;;;;;
2296;résigner;;rEziJE;;;;;;;;;;;;;;;;;rEziJe;;;;;;;;;;;;;;;rEziJ;;;;;;;;rEziJe;;;;;;
2297;résister;;;;;;rEzista;;;;;;;;rEzistE;;;;;rEziste;;;;;rEziste;rEzist;;;;;;rEzist6rE;;;rEzist;rEziste;;;rEzist;;;;;;;;;rEzist;
2298;résonner;;;;;;;;;;;;;;;;;rEzOnE;rEzOnE;;;;;;;;;;;;;;;;rEzOn;;;;rEzOn;;;;;;;;;;
2299;résoudre;;;;rEzOly;;;;;;;;;;;;;;;rEzudr;;;;;;;;;;;;;;;;;rEzu;;rEzu;;;;rEzOly;;;;;;rEzOlv
2300;résulter;;;;;;;;;;;;;;;;;;;rEzylte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2301;résumer;;;;;;;;;;;;;;;;;rEzymE;;rEzyme;;;;;;rEzym;;;;;;;;;;;;;rEzym;;;;;;;;;;
2302;rétablir;;;;;;rEtabli;;;;;;;;;;;;;rEtablir;;;;;;rEtabli;;;;;;;rEtablirE;;;;;;;;rEtabli;;rEtabli;;;;;;
2303;rétamer;;;;;;;;;;;;;;;;;;;rEtame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2304;rétorquer;;;;;;;;;;;;;;;;;;;;;;;;;rEtOrk;;;;;;;;;;;;;;;;;;;;;;;
2305;rétracter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEtrakte;;;;;;
2306;rétrécir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rEtrEsis;rEtrEsi;;;;;;;;;;
2307;réunir;;;;;;rEyni;;;;;;;;;;;rEynisE;;rEynir;;;;;;rEyni;;;;;;;;;rEyni;rEynise;rEyni;rEynis;;rEyni;;rEyni;rEyni;;rEynis;;;;rEynis
2308;réussir;;;;;;rEysi;;;rEysire;;;rEysira;;;;;rEysisE;rEysisE;rEysir;;;;;;;rEysisâ;;;;;;;;rEysi;;rEysi;rEysis;rEysi;;;rEysi;rEysi;;rEysis;;;;rEysis
2309;réveiller;;;;;rEvEjEr;rEvEja;;;;;;;rEvEjô;rEvEjE;;;;rEvEjE;rEvEje;;;;;rEvEje;rEvEj;;;;;rEvEj6rE;;;;rEvEj;rEvEje;;;rEvEj;;rEvEje;;rEvEje;;rEvEj;;;;rEvEj
2310;réviser;;;;;;;;;;;;;;;;;;;rEvize;;;;;;rEviz;;;;;;;;;rEviz;;;;;;;;;;;;;;
2311;révolter;;;;;;;;;;;;;;;;;;;;;;;;;rEvOlt;rEvOltâ;;;;;;;;;;;;rEvOlt;;rEvOlte;;;;;;;;
2312;révolutionner;;;;;;;;;;;;;;;;;;;rEvOlysjOne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2313;révoquer;;;;;;;;;;;;;;;;;;;rEvOke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2314;révulser;;;;;;;;;;;;;;;;;;;;;;;;;rEvyls;;;;;;;;;;;;;;;;rEvylse;;;;;;;
2315;révéler;;rEvElE;;;;rEvEla;;;;;;;;;;;rEvElE;rEvElE;rEvEle;;;;;;rEvEl;;;;;;;;;rEvEl;;;;rEvEl;;;rEvEle;rEvEle;;;;;;
2316;réécrire;;;;;;;;;;;;;;;;;;;rEEkrir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2317;rééduquer;;;;;;;;;;;;;;;;;;;rEEdyke;;;;;;;;;;;;;;;;;;;;;;rEEdyke;;;;;;;
2318;rêvasser;;;;;;;;;;;;;;;;;;;rEvase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2319;rêver;;;;;;;;;;;;;;rEvE;rEvje;rEvE;rEvE;rEvE;rEve;;;;;;rEv;rEvâ;;;;;;;;rEv;;;rEv;rEv;;;;rEve;;;;rEv;;
2320;rôder;;;;;rOdEr;;;;;;;;;;;;rOdE;;rOde;;;;;;rod;;;;;;;;;rod;;;;rod;;;;;;;;;;
2321;rôtir;;;;;;;;;;;;;;;;;;;rOtir;;;;;;;;;;;;;;;;;;;;;;;rOti;;;;;;
2322;sabler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sable;;;;;;;;
2323;saboter;;;;;;;;;;;;;;;;;;;sabOte;;;;;;;;;;;;;;;;;;;sabOt;;;;;;;;;;
2324;sabrer;;;;;;;;;;;;;;;;;;;sabre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2325;saccader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sakade;;;;;;;;
2326;saccager;;;;;;;;;;;;;;;;;;sakaZE;;;;;;;;;;;;;;;;;;;;;;sakaZe;;;;;;;;
2327;sacrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sakre;;;sakre;;;;;;
2328;sacrifier;;;;;;;;;;;;;;;;;sakrifjE;;sakrifje;;;;;;sakrifi;sakrifjâ;;sakrifirE;;;;;;sakrifi;;;;;;sakrifje;sakrifje;sakrifje;;;;;;
2329;saigner;;;;;;;;;;;;;;;;;;;sEJe;;;;;;sEJ;;;;;;;;;sEJ;sEJe;sEJ;sEJ;sEJ;;;;sEJe;;;;;;
2330;saisir;;;;;;sEzi;;;;;;;;;;;;sEzisE;sEzir;;;;;sEzise;sEzi;sEzisâ;;;;;;;;sEzi;;sEzi;sEzis;sEzi;;;sEzi;sEzi;;sEzis;;;;
2331;saler;;;;sala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sal;;sal;;sal;;sale;;sale;;;;;;sal
