;lexeme;ai1P;ai1S;ai2P;ai2S;ai3P;ai3S;fi1P;fi1S;fi2P;fi2S;fi3P;fi3S;ii1P;ii1S;ii2P;ii2S;ii3P;ii3S;inf;is1P;is1S;is2S;is3P;is3S;pI1P;pI2P;pI2S;pP;pc1P;pc1S;pc2P;pc2S;pc3P;pc3S;pi1P;pi1S;pi2P;pi2S;pi3P;pi3S;ppFS;ps1P;ps1S;ps2P;ps2S;ps3P;ps3S
2253;montrer;;môtrè;;;môtrEr;môtra;môtr6rô;môtr6rè;môtr6re;môtr6ra;;môtr6ra;;môtrè;môtrje;môtrè;môtrè;môtrè;môtre;;;;;môtra;môtrô;môtre;môtr;môtrâ;;môtr6rè;;môtr6rè;;môtr6rè;môtrô;môtr;môtre;môtr;môtr;môtr;;;môtr;;môtr;;môtr
2254;moquer;;mòkè;;;mòkEr;mòka;;;;mòk6ra;;mòk6ra;mòkjô;mòkè;mòkje;mòkè;mòkè;mòkè;mòke;;;;;;mòkô;mòke;mOk;mòkâ;;mòk6rè;;mòk6rè;;;mòkô;mOk;mòke;mOk;mOk;mOk;;;mOk;;mOk;;
2255;morceler;;;;;;mOrs6la;;;;;;;;;;;;;mOrs6le;;;;;;;;;mOrs6lâ;;;;;;;;;;;;;;;;;;;
2256;mordiller;;;;;;;;;;;;;;mOrdijè;;;;mOrdijè;mOrdije;;;;;;;;mOrdij;mOrdijâ;;;;;;;;mOrdij;;;;;;;;;;;
2257;mordorer;;;;;;;;;;;;;;;;;;mOrdòrè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2258;mordre;;;;mOrdi;;mOrdi;;;;;mOrdrô;mOrdra;;mOrdè;;mOrdè;mOrdè;mOrdè;mOrdr;;;;;;;mOrde;mOr;mOrdâ;;;;;;;;mOr;mOrde;mOr;mOrd;mOr;;;;;mOrd;;
2259;morfler;;;;;;;;;;;;;;;;mOrflè;;;mOrfle;;;;;;;;;;;;;;;;;mOrfl;;;;mOrfl;;;;;;;
2260;morfondre;;mOrfôdi;;;;;;;;;;;;;;;;mOrfôdè;mOrfôdr;;;;;;;;mOrfô;;;;;;;;;mOrfô;;;;mOrfô;;;;;;;
2261;morigéner;;;;;;mòriZèna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2262;motiver;;;;;;mòtiva;;;;;;;;;;;;;mòtive;;;;;;;;mòtiv;;;;;;;;;mòtiv;;;;mòtiv;;;;;;;
2263;moucher;;muSè;;;;muSa;;;;;;;;;;;;;muSe;;;;;;;;muS;;;;;;;;;muS;;;;muS;;;;;;;
2264;moudre;;;;;;;;mudrè;;;;;;;;;;;mudr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2265;moufter;;;;;;;;;;;;;;;;;;muftè;;;;;;;;;muft;;;;;;;;;muft;;;;muft;;;;;;;
2266;mouiller;;;;;mujEr;muja;;;;;;muj6ra;;;;;mujè;mujè;muje;;;;;;;;muj;;;muj6rè;;;;muj6rè;;muj;muje;muj;muj;muj;;;;;muj;;
2267;mouler;;;;;;;;;;;;;;;;;;mulè;;;;;;;;mule;mul;mulâ;;;;;;;;mul;mule;;;mul;;;;;mul;;
2268;mourir;;;;;muryr;mury;murrô;murrè;murre;murra;murrô;murra;murjô;murè;murje;murè;murè;murè;murir;;;;;mury;murô;mure;m9r;murâ;;murrè;;murrè;murrè;murrè;murô;m9r;mure;m9r;m9r;m9r;;;m9r;;m9r;;m9r
2269;mousser;;;;;;;;;;;;;;;;;;;muse;;;;;;;;;musâ;;;;;;;;mus;;;;mus;;;;;;;
2270;moutonner;;;;;;;;;;;;;;;;;;mutònè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2271;mouvoir;;my;;;;;;;;;;;;muvè;;;;muvè;muvwar;;;;;;;;;muvâ;;;;;;;;;;;m9v;m2;;;;;;;
2272;muer;;;;;;mya;;;;;;;;;;;;myè;mye;;;;;;;;;myâ;;;;;;;;;;;;my;;;;;;;
2273;mugir;;;;;;myZi;;;;;;;;;;;myZisè;;myZir;;;;;;;;;myZisâ;;;;;;;;;;;;;;;;;;;
2274;multiplier;;myltipliè;;;;myltiplia;;;;;;;;;;;myltipliè;myltipliè;myltiplie;;;;;myltiplia;;myltiplie;myltipli;myltipliâ;;;;;;;;myltipli;myltiplie;myltipli;myltipli;myltipli;;;;;;;
2275;munir;;;;;;;;;;;;;;;;;;;mynir;;;;;;;;myni;;;;;;;;;myni;;;;;;;;;;;
2276;murer;;;;;;;;;;;;;;;;;;myrè;myre;;;;;;;;;;;;;;;;;;;;;myr;;;;;;;
2277;murmurer;;myrmyrè;;myrmyra;;myrmyra;;;;;;;;myrmyrè;;myrmyrè;myrmyrè;myrmyrè;myrmyre;;;;;;;;myrmyr;myrmyrâ;;;;;;;;myrmyr;myrmyre;;myrmyr;myrmyr;;;;;;;
2278;musarder;;;;;;;;;;;;;;;;;;myzardè;myzarde;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2279;muscler;;;;;;;;;;;;;;;;;;;myskle;;;;;;;;;;;;;;;;;;;;;myskl;;;;;;;
2280;museler;;;;;;;;;;;;;;;;;;myz6lè;myz6le;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2281;musiquer;;;;;;;;;;;;;;;;;;;myzike;;;;;;;;;;;;;;;;;myzik;;;;;;;;;;;
2282;muter;;;;;;;;;;;;myt6ra;;;;;;;myte;;;;;;;;;mytâ;;;;;;;;myt;;;;myt;;;;;;;
2283;mutiler;;;;;;mytila;;;;;;mytil6ra;;;;;;;mytile;;;;;;;;mytil;;;;;;;;;mytil;;;;mytil;;;;;;;mytil
2284;mutiner;;;;;;;;;;;;;;;;;;;mytine;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2285;mystifier;;;;;;;;;;;;;;;;;;;mistifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2286;mythifier;;;;;;;;;;;;;;;;;;;mitifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2287;mâcher;;;;;;;;;;;;;;;;;;maSè;maSe;;;;;;;maSe;maS;maSâ;;;;;;;;maS;;;maS;maS;;;;;;;
2288;mâchonner;;;;;;maSòna;;;;;;;;;;;;;maSòne;;;;;;;;;maSònâ;;;;;;;;;;;;;;;;;;;
2289;mâchouiller;;;;;;;;;;;;;;;;;;;maSuje;;;;;;;;;maSujâ;;;;;;;;;;;;;;;;;;;
2290;méconnaître;;;;;;;;;;;;mèkònètra;;mèkònèsè;;;;;mèkònEtr;;;;;;;;;;;;;;;;;mèkònè;;mèkònè;;;;;;;;;
2291;mécontenter;;;;;;mèkôtâta;;;;;;;;;;;;;mèkôtâte;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2292;médire;;;;;;;;;;;;;;;;;;mèdizè;mèdir;;;;;;;;;;;;;;;;;;;;;;;;;;;;mèdiz
2293;méditer;;;;;;mèdita;;;;;;mèdit6ra;;mèditè;;mèditè;mèditè;mèditè;mèdite;;;;;;;mèdite;mèdit;mèditâ;;;;;;mèdit6rè;;mèdit;;;;mèdit;;;;;;;
2294;méfier;;;;;;;;;;;;;;mèfjè;;mèfjè;mèfjè;mèfjè;mèfje;;;;;;mèfjô;mèfje;mèfi;mèfjâ;;mèfirè;;;;;mèfjô;mèfi;mèfje;mèfi;mèfi;mèfi;;;mèfi;;;;mèfi
2295;mégoter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mègOt;;;;;;;
2296;mélanger;;;;;;mèlâZa;;;;;;mèlâZ6ra;;;;mèlâZè;mèlâZè;mèlâZè;mèlâZe;;;;;;;mèlâZe;mèlâZ;mèlâZâ;;;;;;;;mèlâZ;mèlâZe;mèlâZ;mèlâZ;mèlâZ;;;;;mèlâZ;;
2297;mémoriser;;;;;;;;;;;;;;;;;;;mèmòrize;;;;;;;mèmòrize;;;;;;;;;;;;;;;;;;;;;
2298;ménager;;;;;;;;;;;;;;mènaZè;;;;;mènaZe;;;;;;;mènaZe;mènaZ;mènaZâ;;;;;;;;mènaZ;mènaZe;;mènaZ;mènaZ;;;;;;;
2299;méprendre;;mèpri;;;;;;;;;;;;;;;;;mèprâdr;;;;;mèpri;;mèpr6ne;mèprâ;mèpr6nâ;;;;;;;;mèprâ;mèpr6ne;mèprâ;;;;;;;;;mèprEn
2300;mépriser;;mèprizè;;;;;;;;;;mèpriz6ra;mèprizjô;mèprizè;;mèprizè;mèprizè;mèprizè;mèprize;;;;;;mèprizô;mèprize;mèpriz;mèprizâ;;;;;;;;mèpriz;mèprize;mèpriz;mèpriz;mèpriz;;;mèpriz;;;;
2301;mériter;;;;;;;;;;;;;mèritjô;mèritè;mèritje;mèritè;mèritè;mèritè;mèrite;;;;;;mèritô;mèrite;mèrit;mèritâ;;;;mèrit6rè;;mèrit6rè;mèritô;mèrit;mèrite;mèrit;mèrit;mèrit;;;mèrit;;mèrit;;mèrit
2302;métamorphoser;;;;;;mètamOrfòza;;;;;;;;;;;;mètamOrfòzè;mètamOrfòze;;;;;;;;;mètamOrfòzâ;;;;;;;;mètamOrfoz;;;;mètamOrfoz;;;;;;;
2303;métrer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;mEtr;;;;;;;
2304;mêler;;mèlè;;;mèlEr;mèla;;;;;;mèl6ra;;;;mèlè;mèlè;mèlè;mèle;;;;;mèla;mèlô;mèle;mEl;mèlâ;;mèl6rè;;mèl6rè;;;;mEl;mèle;mEl;mEl;mEl;;;mEl;;;;mEl
2305;nager;;naZè;;;naZEr;naZa;;;;;;naZ6ra;naZjô;naZè;;naZè;naZè;naZè;naZe;;;;;;naZô;naZe;naZ;naZâ;;;;;;naZ6rè;;naZ;;naZ;naZ;naZ;;;;;;;
2306;narguer;;;;;;narga;;;;;;;;;;;;nargè;narge;;;;;;;;narg;nargâ;;;;;;;;narg;;;;narg;;;;;;;
2307;narrer;;;;;;nara;;;;;;;;;;;;narè;;;;;;;;;;;;;;;;;;nar;;;;nar;;;;;;;
2308;nasiller;;;;;;;;;;;;;;;;;;;;;;;;;;;;nazijâ;;;;;;;;;;;;;;;;;;;
2309;natter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nat;;;;;;;
2310;naviguer;;;;;;;;;;;;;navigjô;navigè;;;;navigè;navige;;;;;;navigô;;navig;navigâ;;;;;;;navigô;navig;;;navig;navig;;;;;;;
2311;navrer;;;;;;;;;;;;;;;;;;navrè;navre;;;;;;;;navr;navrâ;;;;;;;;;;;;navr;;;;;;;
2312;naître;;;;;;naki;;;;;nètrô;nètra;;;;;nèsè;nèsè;nEtr;;;;;;;;;nèsâ;;;;;;nètrè;nèsô;;;nè;nEs;nè;;;nEs;;;;nEs
2313;neiger;;;;;;;;;;;;;;;;;;nèZè;;;;;;;;;;;;;;;;;;;;;;nEZ;;;;;;;
2314;nettoyer;;;;;nètwajEr;nètwaja;nètwarô;nètwarè;nètware;;;nètwara;;nètwajè;;nètwajè;nètwajè;nètwajè;nètwaje;;;;;;nètwajô;nètwaje;nètwa;nètwajâ;;nètwarè;;nètwarè;;;;nètwa;nètwaje;nètwa;nètwa;nètwa;;;;;nètwa;;nètwa
2315;neutraliser;;;;;;;;n6traliz6rè;;;;;;;;;;;n6tralize;;;;;;;;n6traliz;;;;;;;;;n6traliz;;;n6traliz;;;;;;;;
2316;niaiser;;;;;;;;;;;;;;;;;;;njèze;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2317;nicher;;;;;;;;;;;;;;;;;niSè;niSè;niSe;;;;;;niSô;;;niSâ;;;;;;;;;;;niS;niS;;;;;;;
2318;nier;;njè;;;;nja;;nirè;;;;;;;;;;njè;nje;;;;;;;nje;ni;njâ;;;;;;nirè;;ni;nje;ni;ni;ni;;;;;;;
2319;nimber;;;;;;nêba;;;;;;;;;;;;;nêbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2320;nipper;;;;;;;;;;;;;;;;;;;nipe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2321;noircir;;;;;;;;;;;;;;;;;;nwarsisè;nwarsir;;;;;;;;nwarsi;;;;;;;;;nwarsi;;nwarsi;;nwarsi;;;;;;;
2322;nomadiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nòmadiz;;;;;;;;
2323;nommer;;nòmè;;;;nòma;;nòm6rè;;;;;;nòmè;;;nòmè;nòmè;nòme;;;;;;nòmô;nòme;nOm;nòmâ;;;;;;nòm6rè;nòmô;nOm;;nOm;nOm;nOm;;;;;nOm;;nOm
2324;normaliser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nOrmaliz;nOrmaliz;;;;;;;
2325;noter;;nòtè;;;;nòta;;nòt6rè;nòt6re;;nòt6rô;;;;nòtje;;;nòtè;nòte;;;;;;nòtô;nòte;;nòtâ;;;;;;;;nOt;nòte;;;nOt;;;;;;;
2326;notifier;;nòtifjè;;;;;;;;;;;;;;;;;nòtifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2327;nouer;;;;;nuEr;;;;nure;;;;;;;;nuè;nuè;nue;;;;;;;;nu;nuâ;;;;;;;;nu;;;nu;nu;;;;;;;
2328;nourrir;;;;;;nuri;;nurirè;;;nurirô;;;nurisè;nurisje;nurisè;nurisè;nurisè;nurir;;;;nuris;;nurisô;nurise;nuri;nurisâ;;;;;;nurirè;nurisô;nuri;nurise;nuri;nuris;nuri;;;nuris;;;;nuris
2329;noyauter;;;;;;;;;;;;;;;;;;;nwajòte;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2330;noyer;;;;;;;;nwarè;nware;;nwarô;;;;;nwajè;nwajè;nwajè;nwaje;;;;;;nwajô;nwaje;nwa;nwajâ;;;;;;nwarè;;nwa;;;nwa;nwa;;;nwa;;;;nwa
2331;nuancer;;;;;;;;;;;;;;;;;;nyâsè;nyâse;;;;;;;;;;;;;;;;;nyâs;;;;;;;;;;;
2332;nuire;;;;;;;;;;;;nHira;;;;;;;nHir;;;;;;;;;;;;;;;nHirè;;nHi;;;;nHi;;;nHiz;;;;
2333;numéroter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nymèrOt;;;;;;;
2334;nécessiter;;;;;;;;;;;;;;;;;;nèsèsitè;;;;;;;;;nèsèsit;nèsèsitâ;;;;;;;;;;;nèsèsit;nèsèsit;;;;;;;
2335;négliger;;;;;;nègliZa;;;;;;;;;;nègliZè;;nègliZè;nègliZe;;;;;;;nègliZe;nègliZ;nègliZâ;;;;;;nègliZ6rè;;nègliZ;nègliZe;nègliZ;;nègliZ;;;;;;;
2336;négocier;;;;;;;;nègòsirè;;;nègòsirô;;;;;;nègòsjè;nègòsjè;nègòsje;;;;;;;nègòsje;nègòsi;nègòsjâ;;;;;;;nègòsjô;nègòsi;nègòsje;;nègòsi;nègòsi;;;;;;;
2337;objecter;;;;;;òbZEkta;;;;;òbZEkt6rô;;;;;;;òbZEktè;òbZEkte;;;;;;;;òbZEkt;òbZEktâ;;;;;;;;òbZEkt;;;;òbZEkt;;;;;;;
2338;obliger;;;;;òbliZEr;òbliZa;;òbliZ6rè;;òbliZ6ra;;òbliZ6ra;;òbliZè;;òbliZè;òbliZè;òbliZè;òbliZe;;;;;;;òbliZe;òbliZ;òbliZâ;;;;;;òbliZ6rè;;òbliZ;òbliZe;òbliZ;òbliZ;òbliZ;;;;;;;òbliZ
2339;obliquer;;;;;;òblika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;òblik;;;;òblik;;;;;;;òblik
2340;oblitérer;;;;;òblitèrEr;;;;;;;;;;;;;;òblitère;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2341;obnubiler;;;;;;;;;;;;;;;;;;;òbnybile;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2342;obscurcir;;;;;;òbskyrsi;;;;;;;;;;;òbskyrsisè;òbskyrsisè;òbskyrsir;;;;;;;;;;;;;;;òbskyrsirè;;;;;;òbskyrsi;;;;;;;
2343;observer;òbsErvam;òbsErvè;;;òbsErvEr;òbsErva;;;;;;;òbsErvjô;òbsErvè;;òbsErvè;òbsErvè;òbsErvè;òbsErve;;;;;;òbsErvô;òbsErve;òbsErv;òbsErvâ;;;;;;;;òbsErv;òbsErve;òbsErv;òbsErv;òbsErv;;;òbsErv;;;;òbsErv
2344;obstiner;;;;;;;;;;;;;;òbstinè;;òbstinè;òbstinè;òbstinè;òbstine;;;;;;;òbstine;òbstin;òbstinâ;;;òbstin6rje;;òbstin6rè;òbstin6rè;;òbstin;;òbstin;òbstin;òbstin;;;;;òbstin;;
2345;obstruer;;;;;;òbstrya;;;;;;;;;;;;;;;;;;;;;òbstry;;;;;;;;;;;;;;;;;;;;
2346;obséder;;;;;;òbsèda;;;;;;;;;;òbsèdè;;òbsèdè;òbsède;;;;;;;;òbsEd;òbsèdâ;;;;;;;;òbsEd;;;;òbsEd;;;;;;;
2347;obtempérer;;;;;;;;;;;;;;;;;;;òbtâpère;;;;;;;òbtâpère;òbtâpEr;;;;;;;;;;;;;;;;;;;;
2348;obtenir;;òbtê;;;òbtêr;òbtê;òbtjêdrô;òbtjêdrè;òbtjêdre;òbtjêdra;òbtjêdrô;òbtjêdra;;òbt6nè;;òbt6nè;òbt6nè;òbt6nè;òbt6nir;;;;;;òbt6nô;òbt6ne;òbtjê;;;òbtjêdrè;;;òbtjêdrè;;òbt6nô;òbtjê;òbt6ne;òbtjê;òbtjEn;òbtjê;;;òbtjEn;;òbtjEn;;òbtjEn
2349;obturer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;òbtyr;;;;;;;;;;;
2350;obvier;;;;;;;;;;;;;;;;;;;òbvje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2351;obéir;;;;;òbèir;òbèi;;òbèirè;;;òbèirô;òbèira;òbèisjô;;;òbèisè;òbèisè;òbèisè;òbèir;;;;;;;òbèise;òbèi;òbèisâ;;;;;;;òbèisô;òbèi;òbèise;òbèi;òbèis;òbèi;;;;;;;òbèis
2352;occasionner;;;;;;;;;;;;;;;;;;;òkazjòne;;;;;;;;;;;;;;;;;òkazjòn;;;òkazjòn;;;;;;;;
2353;occire;;;;;;;;;;;;;;;;;;;òksir;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2354;occulter;;;;;;;;;;;;;;;;;;;òkylte;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2355;occuper;;òkypè;;;òkypEr;òkypa;;òkyp6rè;;òkyp6ra;òkyp6rô;òkyp6ra;òkypjô;òkypè;;òkypè;òkypè;òkypè;òkype;;;;;;òkypô;òkype;òkyp;òkypâ;;òkyp6rè;;òkyp6rè;òkyp6rè;òkyp6rè;òkypô;òkyp;òkype;òkyp;òkyp;òkyp;;;òkyp;;òkyp;;òkyp
2356;octroyer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;òktrwa;;;;òktrwa;;;;;;;
2357;oeuvrer;;;;;;;;;;;;;;;;;;6vrè;6vre;;;;;;;;9vr;6vrâ;;;;;;;;;;;9vr;9vr;;;;;;;
2358;offenser;;;;;;;;;;;;;;;;;;òfâsè;òfâse;;;;;;;;òfâs;;;;;;;;;òfâs;;òfâs;òfâs;òfâs;;;;;;;
2359;officialiser;;;;;;;;;;;;;;;;;;òfisjalizè;òfisjalize;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2360;officier;;;;;;;;;;;;;;;;;;;òfisje;;;;;;;;;;;;;;;;;;;;;òfisi;;;;;;;
2361;offrir;;òfri;;;òfrir;òfri;òfrirô;òfrirè;òfrire;òfrira;òfrirô;òfrira;;òfrè;;òfrè;òfrè;òfrè;òfrir;;;;;;òfrô;òfre;Ofr;òfrâ;;òfrirè;òfrirje;òfrirè;òfrirè;òfrirè;òfrô;Ofr;òfre;Ofr;Ofr;Ofr;;;Ofr;;Ofr;;Ofr
2362;offusquer;;;;;;òfyska;;;;;;;;;;;;òfyskè;òfyske;;;;;;;;òfysk;;;;;;;;;òfysk;;;òfysk;;;;;;;;
2363;ombrager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ôbraZ;;;;;;;
2364;ombrer;;;;;;;;;;;;;;;;;;;ôbre;;;;;;;;ôbr;ôbrâ;;;;;;;;;;;;ôbr;;;;;;;
2365;omettre;;;;;;;;òmètrè;;;;;;;;;;;òmEtr;;;;;;;;;òmètâ;;;;;;;;;òmète;;òmEt;;;;;;;;
2366;ondoyer;;;;;;;;;;;;;;;;;ôdwajè;ôdwajè;ôdwaje;;;;;;;;;ôdwajâ;;;;;;;;ôdwa;;;;;;;;;;;
2367;onduler;;;;;ôdylEr;ôdyla;;;;;;;;;;;ôdylè;ôdylè;ôdyle;;;;;;;;ôdyl;ôdylâ;;;;;;;;ôdyl;;;;ôdyl;;;;;;;
2368;opacifier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;òpasifi;;;òpasifi;òpasifi;;;;;;;
2369;opiner;;òpinè;;;;òpina;;;;;;;;;;;;òpinè;;;;;;;;;òpin;òpinâ;;;;;;;;òpin;;;;òpin;;;;;;;
2370;opposer;;òpòzè;;;òpòzEr;òpòza;;òpòz6rè;;;òpòz6rô;;;òpòzè;;òpòzè;òpòzè;òpòzè;òpòze;;;;;òpòza;;;òpoz;òpòzâ;;;;;òpòz6rè;òpòz6rè;;òpoz;;;òpoz;òpoz;;;;;;;òpoz
2371;oppresser;;;;;;;;;;;;;;;;;òprèsè;òprèsè;;;;;;;;;;òprèsâ;;;;;;;;òprEs;;;òprEs;òprEs;;;;;;;
2372;opprimer;;;;;;;;;;;;;;;;;;òprimè;;;;;;;;;òprim;;;;;;;;;òprim;;;òprim;òprim;;;;;;;
2373;opter;;;;;;òpta;;;;;;;;;;;;;òpte;;;;;;;;;;;;;;;;;Opt;;;;Opt;;;;;;;
2374;opérer;;;;;;òpèra;;òpèr6rè;;;;òpèr6ra;;òpèrè;;òpèrè;òpèrè;òpèrè;òpère;;;;;;;òpère;òpEr;òpèrâ;;;;;;òpèr6rè;òpèrô;òpEr;òpère;;òpEr;òpEr;;;;;;;òpEr
2375;orchestrer;;;;;;OrkEstra;;;;;;;;;;;;;OrkEstre;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2376;ordonner;;Ordònè;;;OrdònEr;Ordòna;;Ordòn6rè;;;;Ordòn6ra;;;;;;Ordònè;Ordòne;;;;;;Ordònô;Ordòne;Ordòn;;;;;;;Ordòn6rè;Ordònô;Ordòn;Ordòne;Ordòn;Ordòn;Ordòn;;;;;;;
2377;organiser;;;;;;Organiza;;;;;;;Organizjô;Organizè;;Organizè;Organizè;Organizè;Organize;;;;;;Organizô;Organize;Organiz;Organizâ;;;;;;Organiz6rè;Organizô;Organiz;Organize;Organiz;Organiz;Organiz;;;Organiz;;;;Organiz
2378;orienter;;;;;;òrjâta;;;;;;;;;;;òrjâtè;òrjâtè;òrjâte;;;;;;;;òrjât;;;;;;;òrjât6rè;;òrjât;;;;òrjât;;;;;;;
2379;orner;;;;;;;;;;;;Orn6ra;;;;;Ornè;Ornè;Orne;;;;;;;;;Ornâ;;;;;;;;;;;Orn;Orn;;;;;;;
2380;osciller;;;;;;òsila;;;;;;;;;;;òsilè;òsilè;òsile;;;;;;;;òsil;òsilâ;;;;;;;;òsil;;;òsil;òsil;;;;;;;
2381;oser;;òzè;;;;òza;;òz6rè;òz6re;òz6ra;òz6rô;òz6ra;òzjô;òzè;;òzè;òzè;òzè;òze;;;;;;òzô;òze;oz;òzâ;;òz6rè;;òz6rè;;òz6rè;òzô;oz;òze;oz;oz;oz;;;;;;;oz
2382;oublier;ubliam;ubliè;;;ubliEr;ublia;ublirô;ublirè;ublire;ublira;ublirô;ublira;ublijô;ubliè;;ubliè;ubliè;ubliè;ublie;;;;;ublia;ubliô;ublie;ubli;ubliâ;;ublirè;;ublirè;ublirè;ublirè;ubliô;ubli;ublie;ubli;ubli;ubli;;;ubli;;ubli;;ubli
2383;ouiller;;;;;;;;;;;;;;;;;;;;;;;;;;;uj;;;;;;;;;;;;;uj;;;;;;;
2384;ourdir;;;;;;urdi;;;;;;;;;;;;;;;;;;;;;;urdisâ;;;;;;;;;;;;urdi;;;;;;;
2385;ourler;;;;;;;;;;;;;;;;;urlè;urlè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2386;outrager;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;utraZ;;;;;;;;;;;
2387;outrepasser;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;utr6pas;;;;;;;;
2388;outrer;;;;;;;;;;;;;;;;;;utrè;;;;;;;;;utr;;;;;;;;;;;;;utr;;;;;;;utr
2389;ouvrir;uvrim;uvri;;uvri;uvrir;uvri;uvrirô;uvrirè;;uvrira;uvrirô;uvrira;uvriô;uvrè;uvrie;uvrè;uvrè;uvrè;uvrir;;;;;uvri;uvrô;uvre;uvr;uvrâ;;uvrirè;;uvrirè;uvrirè;uvrirè;uvrô;uvr;uvre;uvr;uvr;uvr;;;;;uvr;uvr;uvr
2390;ouïr;;wi;;;;;;;;;;;;;;;;;wir;;;;;;;òje;wa;;;wirè;;;;;;wa;òje;;;wa;;;;;;;
2391;oxygéner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;òksiZEn;;;;;;;
2392;pacifier;;;;;;;;;;;;;;;;;;;pasifje;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2393;pactiser;;;;;;;;;;;;;;;;;;;;;;;;;;;;paktizâ;;;;;;;;;;;;;;;;;;;
2394;pagayer;;;;;;;;;;;;;;;;;;;pagèje;;;;;;;;;pagèjâ;;;;;;;;;;;;pagè;;;;;;;
2395;pager;;;;;;;;;;;;;;;;;;;paZe;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2396;palabrer;;;;;;palabra;;;;;;;;;;;palabrè;palabrè;palabre;;;;;;;;;;;;;;;;;;;;;palabr;;;;;;;
2397;pallier;;;;;;;;;;;;palira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2398;palper;;;;;;palpa;;;;;;;;palpè;;;palpè;palpè;palpe;;;;;;palpô;;palp;palpâ;;;;;;;;palp;;;;palp;;;;;;;
2399;palpiter;;;;;;;;;;;;;;;;;palpitè;palpitè;palpite;;;;;;;;palpit;;;;;;;;;palpit;;;palpit;palpit;;;;;;;
2400;paniquer;;;;;;panika;;;;;;;;panikè;;panikè;panikè;;panike;;;;;;;panike;panik;;;panik6rè;;;;;;panik;panike;panik;;panik;;;;;panik;;
2401;panser;;;;;;pâsa;;;;;;;pâsjô;;;;;;pâse;;;;;;;;pâs;;;;;;;;;pâs;pâse;;;;;;;;;;
2402;panteler;;;;;;;;;;;;;;;;;;;pât6le;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2403;pantoufler;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pâtufl;;
2404;papilloter;;;;;;;;;;;;;;;;;;;;;;;;;;;;papijòtâ;;;;;;;;;;;;;;;;;;;
2405;papoter;;;;;;;;;;;;;;;;;;papòtè;papòte;;;;;;;;;papòtâ;;;;;;;;papOt;;;;papOt;;;;;;;
2406;parachever;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paraSèv6rè;;;;;;;;;;;;;;
2407;parachuter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;paraSyt;;;;;;;
2408;parader;;;;;paradEr;;;;;;;;;;;;;;parade;;;;;;;;;paradâ;;;;;;;;;;;parad;parad;;;;;;;
2409;paralyser;;;;;paralizEr;;;;;;;;;;;;paralizè;paralizè;paralize;;;;;;;;paraliz;;;;;;;paraliz6rè;;paraliz;;;;paraliz;;;;;;;
